道具ID,道具名称,道具说明,星级,道具类型,礼包掉落ID,随机道具,金币,元宝,卡牌,装备,装备碎片,经验,战功,声望,将魂,体力,好感度,使用类型,开放等级,道具icon,道具资源,可堆叠,堆叠上限,权值,内含道具,元宝价格,银币价格,产地,产出描述1,产出副本1,产出关卡1,产出描述2,产出副本2,产出关卡2,产出描述3,产出副本3,产出关卡3,产出描述4,产出副本4,产出关卡4,产出描述5,产出副本5,产出关卡5,产出描述6,产出副本6,产出关卡6
1248,孔秀,魏国1星步兵孔秀,1,7,,,,,248,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1249,王植,魏国1星步兵王植,1,7,,,,,249,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1250,忙牙长,蜀国1星步兵忙牙长,1,7,,,,,250,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1251,严纲,群雄1星步兵严纲,1,7,,,,,251,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1252,胡车儿,群雄1星步兵胡车儿,1,7,,,,,252,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1253,梁兴,群雄1星步兵梁兴,1,7,,,,,253,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1254,杨秋,群雄1星步兵杨秋,1,7,,,,,254,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1255,李堪,群雄1星步兵李堪,1,7,,,,,255,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1256,桥蕤,群雄1星步兵桥蕤,1,7,,,,,256,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1257,乐就,群雄1星步兵乐就,1,7,,,,,257,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1258,韩胤,群雄1星步兵韩胤,1,7,,,,,258,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1259,董卓,群雄2星步兵董卓,2,7,,,,,259,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1260,陶谦,群雄1星军师陶谦,1,7,,,,,260,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1261,于毒,群雄1星步兵于毒,1,7,,,,,261,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1262,白绕,群雄1星步兵白绕,1,7,,,,,262,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1263,眭固,群雄1星骑兵眭固,1,7,,,,,263,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1264,程远志,群雄1星步兵程远志,1,7,,,,,264,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1265,刘虞,群雄1星军师刘虞,1,7,,,,,265,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1266,刘岱,群雄1星弓兵刘岱,1,7,,,,,266,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1267,刘繇,群雄1星骑兵刘繇,1,7,,,,,267,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1268,严白虎,群雄1星步兵严白虎,1,7,,,,,268,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1269,王朗,群雄1星步兵王朗,1,7,,,,,269,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1270,刘勋,群雄1星军师刘勋,1,7,,,,,270,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1271,曹节,魏国1星军师曹节,1,7,,,,,271,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=商城；2=名将商店；3=战场排名；4=普通副本；5=精英副本；6=名将；7=过关斩将；8=战功商店；9=商城抽卡,10=地狱副本",,,,,,,,,,,,,,,,,,
2001,张飞碎片,收集10个张飞碎片，可合成1星步兵武将张飞，且是其升星所需材料.,3,8,,,,,1,,,,,,,,,,,,,,,,,,,5 5 5 9,,202,20202,,210,21002,,215,21503,,,,,,,,,
2002,周瑜碎片,收集80个周瑜碎片，可合成3星军师武将周瑜，且是其升星所需材料.,3,8,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,许褚碎片,收集10个许褚碎片，可合成1星步兵武将许褚，且是其升星所需材料.,1,8,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,夏侯惇碎片,收集80个夏侯惇碎片，可合成3星步兵武将夏侯惇，且是其升星所需材料.,3,8,,,,,4,,,,,,,,,,,,,,,,,,,5 5 5 9,,205,20505,,213,21301,,214,21402,,,,,,,,,
2005,孙权碎片,收集80个孙权碎片，可合成3星弓兵武将孙权，且是其升星所需材料.,3,8,,,,,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
2006,甘宁碎片,收集80个甘宁碎片，可合成3星步兵武将甘宁，且是其升星所需材料.,3,8,,,,,6,,,,,,,,,,,,,,,,,,,5 5 9,,207,20703,,213,21303,,,,,,,,,,,,
2007,郭嘉碎片,收集80个郭嘉碎片，可合成3星军师武将郭嘉，且是其升星所需材料.,3,8,,,,,7,,,,,,,,,,,,,,,,,,,5 5 5 9,,206,20605,,209,20903,,214,21405,,,,,,,,,
2008,陆逊碎片,收集10个陆逊碎片，可合成1星军师武将陆逊，且是其升星所需材料.,1,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,诸葛亮碎片,收集80个诸葛亮碎片，可合成3星军师武将诸葛亮，且是其升星所需材料.,3,8,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,司马懿碎片,收集10个司马懿碎片，可合成1星军师武将司马懿，且是其升星所需材料.,1,8,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,孙尚香碎片,收集80个孙尚香碎片，可合成3星弓兵武将孙尚香，且是其升星所需材料.,2,8,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,黄月英碎片,收集30个黄月英碎片，可合成2星军师武将黄月英，且是其升星所需材料.,2,8,,,,,12,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
2013,曹操碎片,收集80个曹操碎片，可合成3星步兵武将曹操，且是其升星所需材料.,3,8,,,,,13,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
2014,吕布碎片,收集80个吕布碎片，可合成3星骑兵武将吕布，且是其升星所需材料.,3,8,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,关羽碎片,收集80个关羽碎片，可合成3星骑兵武将关羽，且是其升星所需材料.,3,8,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,赵云碎片,收集80个赵云碎片，可合成3星骑兵武将赵云，且是其升星所需材料.,3,8,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,马超碎片,收集80个马超碎片，可合成3星骑兵武将马超，且是其升星所需材料.,3,8,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,张辽碎片,收集80个张辽碎片，可合成3星骑兵武将张辽，且是其升星所需材料.,3,8,,,,,18,,,,,,,,,,,,,,,,,,,5 5 9,,204,20403,,209,20905,,,,,,,,,,,,
2019,刘备碎片,收集80个刘备碎片，可合成3星步兵武将刘备，且是其升星所需材料.,3,8,,,,,19,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
2020,左慈碎片,收集80个左慈碎片，可合成3星军师武将左慈，且是其升星所需材料.,3,8,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,貂蝉碎片,收集80个貂蝉碎片，可合成3星军师武将貂蝉，且是其升星所需材料.,3,8,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,华佗碎片,收集80个华佗碎片，可合成3星弓兵武将华佗，且是其升星所需材料.,3,8,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,小乔碎片,收集30个小乔碎片，可合成2星弓兵武将小乔，且是其升星所需材料.,2,8,,,,,23,,,,,,,,,,,,,,,,,,,5 5 5 9,,205,20502,,208,20802,,214,21401,,,,,,,,,
2024,甄姬碎片,收集10个甄姬碎片，可合成1星弓兵武将甄姬，且是其升星所需材料.,1,8,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,蔡文姬碎片,收集10个蔡文姬碎片，可合成1星军师武将蔡文姬，且是其升星所需材料.,1,8,,,,,25,,,,,,,,,,,,,,,,,,,5 5 5 9,,202,20203,,205,20501,,209,20902,,,,,,,,,
2026,大乔碎片,收集30个大乔碎片，可合成2星军师武将大乔，且是其升星所需材料.,2,8,,,,,26,,,,,,,,,,,,,,,,,,,5 5 5 9,,208,20803,,212,21205,,215,21504,,,,,,,,,
2027,张昭碎片,收集10个张昭碎片，可合成1星弓兵武将张昭，且是其升星所需材料.,1,8,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,步练师碎片,收集10个步练师碎片，可合成1星骑兵武将步练师，且是其升星所需材料.,1,8,,,,,28,,,,,,,,,,,,,,,,,,,5 5 5 9,,207,20704,,208,20801,,213,21304,,,,,,,,,
2029,司马昭碎片,收集10个司马昭碎片，可合成1星军师武将司马昭，且是其升星所需材料.,1,8,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,司马师碎片,收集10个司马师碎片，可合成1星军师武将司马师，且是其升星所需材料.,1,8,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,甘夫人碎片,收集10个甘夫人碎片，可合成1星军师武将甘夫人，且是其升星所需材料.,1,8,,,,,31,,,,,,,,,,,,,,,,,,,5 5 5 9,,202,20201,,210,21003,,212,21201,,,,,,,,,
2032,辛宪英碎片,收集10个辛宪英碎片，可合成1星军师武将辛宪英，且是其升星所需材料.,1,8,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,张春华碎片,收集10个张春华碎片，可合成1星步兵武将张春华，且是其升星所需材料.,1,8,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,马云禄碎片,收集10个马云禄碎片，可合成1星骑兵武将马云禄，且是其升星所需材料.,1,8,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,王异碎片,收集10个王异碎片，可合成1星军师武将王异，且是其升星所需材料.,2,8,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,王元姬碎片,收集10个王元姬碎片，可合成1星骑兵武将王元姬，且是其升星所需材料.,1,8,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,孙策碎片,收集10个孙策碎片，可合成1星步兵武将孙策，且是其升星所需材料.,3,8,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,姜维碎片,收集10个姜维碎片，可合成1星骑兵武将姜维，且是其升星所需材料.,1,8,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,乐进碎片,收集10个乐进碎片，可合成1星弓兵武将乐进，且是其升星所需材料.,1,8,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,张绣碎片,收集10个张绣碎片，可合成1星骑兵武将张绣，且是其升星所需材料.,1,8,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,夏侯渊碎片,收集10个夏侯渊碎片，可合成1星弓兵武将夏侯渊，且是其升星所需材料.,2,8,,,,,41,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
2042,文丑碎片,收集30个文丑碎片，可合成2星骑兵武将文丑，且是其升星所需材料.,1,8,,,,,42,,,,,,,,,,,,,,,,,,,5 5 5 9,,207,20702,,211,21103,,215,21501,,,,,,,,,
2043,纪灵碎片,收集10个纪灵碎片，可合成1星骑兵武将纪灵，且是其升星所需材料.,1,8,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,程普碎片,收集10个程普碎片，可合成1星骑兵武将程普，且是其升星所需材料.,1,8,,,,,44,,,,,,,,,,,,,,,,,,,5 5 5 9,,202,20204,,203,20304,,215,21502,,,,,,,,,
2045,曹仁碎片,收集10个曹仁碎片，可合成1星步兵武将曹仁，且是其升星所需材料.,2,8,,,,,45,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
2046,张郃碎片,收集10个张郃碎片，可合成1星骑兵武将张郃，且是其升星所需材料.,1,8,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,关兴碎片,收集10个关兴碎片，可合成1星骑兵武将关兴，且是其升星所需材料.,1,8,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,张苞碎片,收集10个张苞碎片，可合成1星骑兵武将张苞，且是其升星所需材料.,1,8,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,孙坚碎片,收集10个孙坚碎片，可合成1星步兵武将孙坚，且是其升星所需材料.,2,8,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,颜良碎片,收集30个颜良碎片，可合成2星骑兵武将颜良，且是其升星所需材料.,1,8,,,,,50,,,,,,,,,,,,,,,,,,,5 5 5 9,,202,20205,,205,20503,,210,21005,,,,,,,,,
2051,吕蒙碎片,收集80个吕蒙碎片，可合成3星骑兵武将吕蒙，且是其升星所需材料.,3,8,,,,,51,,,,,,,,,,,,,,,,,,,5 5 5 9,,208,20805,,211,21102,,213,21305,,,,,,,,,
2052,鲁肃碎片,收集10个鲁肃碎片，可合成1星军师武将鲁肃，且是其升星所需材料.,1,8,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2053,祝融夫人碎片,收集10个祝融夫人碎片，可合成1星步兵武将祝融夫人，且是其升星所需材料.,1,8,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,关银屏碎片,收集10个关银屏碎片，可合成1星骑兵武将关银屏，且是其升星所需材料.,1,8,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,张星彩碎片,收集10个张星彩碎片，可合成2星步兵武将张星彩1星彩碎片，可合成2星步兵武将张星彩，且是其升星所需材料.,2,8,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2056,鲍三娘碎片,收集10个鲍三娘碎片，可合成1星步兵武将鲍三娘，且是其升星所需材料.,1,8,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2057,荀彧碎片,收集10个荀彧碎片，可合成1星军师武将荀彧，且是其升星所需材料.,1,8,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2058,贾诩碎片,收集80个贾诩碎片，可合成3星军师武将贾诩，且是其升星所需材料.,2,8,,,,,58,,,,,,,,,,,,,,,,,,,5 5 5 9,,204,20405,,206,20604,,209,20901,,,,,,,,,
2059,徐庶碎片,收集10个徐庶碎片，可合成1星军师武将徐庶，且是其升星所需材料.,1,8,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,庞统碎片,收集80个庞统碎片，可合成3星军师武将庞统，且是其升星所需材料.,2,8,,,,,60,,,,,,,,,,,,,,,,,,,5 5 9,,206,20601,,212,21203,,,,,,,,,,,,
2061,凌统碎片,收集10个凌统碎片，可合成1星弓兵武将凌统，且是其升星所需材料.,1,8,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,孙鲁班碎片,收集10个孙鲁班碎片，可合成1星弓兵武将孙鲁班，且是其升星所需材料.,1,8,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2063,韩当碎片,收集10个韩当碎片，可合成1星弓兵武将韩当，且是其升星所需材料.,1,8,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2064,太史慈碎片,收集10个太史慈碎片，可合成1星弓兵武将太史慈，且是其升星所需材料.,2,8,,,,,64,,,,,,,,,,,,,,,,,,,5 5 5 9,,204,20401,,208,20804,,213,21302,,,,,,,,,
2065,黄忠碎片,收集30个黄忠碎片，可合成2星弓兵武将黄忠，且是其升星所需材料.,2,8,,,,,65,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
2066,于禁碎片,收集10个于禁碎片，可合成1星弓兵武将于禁，且是其升星所需材料.,2,8,,,,,66,,,,,,,,,,,,,,,,,,,5 5 5 9,,206,20603,,209,20904,,210,21004,,,,,,,,,
2067,陆抗碎片,收集10个陆抗碎片，可合成1星弓兵武将陆抗，且是其升星所需材料.,1,8,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2068,孟获碎片,收集10个孟获碎片，可合成1星步兵武将孟获，且是其升星所需材料.,1,8,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2069,徐晃碎片,收集30个徐晃碎片，可合成2星步兵武将徐晃，且是其升星所需材料.,3,8,,,,,69,,,,,,,,,,,,,,,,,,,5 5 5 9,,210,21001,,211,21104,,214,21403,,,,,,,,,
2070,魏延碎片,收集30个魏延碎片，可合成2星步兵武将魏延，且是其升星所需材料.,2,8,,,,,70,,,,,,,,,,,,,,,,,,,5 5 5 9,,210,21002,,212,21204,,215,21505,,,,,,,,,
2071,周泰碎片,收集10个周泰碎片，可合成1星步兵武将周泰，且是其升星所需材料.,1,8,,,,,71,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
2072,黄盖碎片,收集10个黄盖碎片，可合成1星步兵武将黄盖，且是其升星所需材料.,1,8,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,典韦碎片,收集10个典韦碎片，可合成1星步兵武将典韦，且是其升星所需材料.,2,8,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074,曹丕碎片,收集10个曹丕碎片，可合成1星弓兵武将曹丕，且是其升星所需材料.,1,8,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2075,法正碎片,收集10个法正碎片，可合成1星军师武将法正，且是其升星所需材料.,1,8,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076,穆皇后碎片,收集10个穆皇后碎片，可合成1星军师武将穆皇后，且是其升星所需材料.,1,8,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,敬哀皇后碎片,收集10个敬哀皇后碎片，可合成1星军师武将敬哀皇后，且是其升星所需材料.,1,8,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2078,卞夫人碎片,收集10个卞夫人碎片，可合成1星军师武将卞夫人，且是其升星所需材料.,1,8,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2079,曹彰碎片,收集10个曹彰碎片，可合成1星步兵武将曹彰，且是其升星所需材料.,1,8,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,马腾碎片,收集10个马腾碎片，可合成1星骑兵武将马腾，且是其升星所需材料.,1,8,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2081,郭汜碎片,收集10个郭汜碎片，可合成1星步兵武将郭汜，且是其升星所需材料.,1,8,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2082,马良碎片,收集10个马良碎片，可合成1星步兵武将马良，且是其升星所需材料.,1,8,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2083,马谡碎片,收集10个马谡碎片，可合成1星步兵武将马谡，且是其升星所需材料.,1,8,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,关索碎片,收集10个关索碎片，可合成1星步兵武将关索，且是其升星所需材料.,1,8,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2085,马忠碎片,收集10个马忠碎片，可合成1星骑兵武将马忠，且是其升星所需材料.,1,8,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2086,吕范碎片,收集10个吕范碎片，可合成1星骑兵武将吕范，且是其升星所需材料.,1,8,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2087,陈武碎片,收集10个陈武碎片，可合成1星骑兵武将陈武，且是其升星所需材料.,1,8,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2088,陈登碎片,收集10个陈登碎片，可合成1星骑兵武将陈登，且是其升星所需材料.,1,8,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089,郭淮碎片,收集10个郭淮碎片，可合成1星骑兵武将郭淮，且是其升星所需材料.,1,8,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,王双碎片,收集10个王双碎片，可合成1星骑兵武将王双，且是其升星所需材料.,1,8,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2091,李异碎片,收集10个李异碎片，可合成1星骑兵武将李异，且是其升星所需材料.,1,8,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2092,庞德碎片,收集10个庞德碎片，可合成1星骑兵武将庞德，且是其升星所需材料.,1,8,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093,邓艾碎片,收集10个邓艾碎片，可合成1星骑兵武将邓艾，且是其升星所需材料.,1,8,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094,周仓碎片,收集10个周仓碎片，可合成1星骑兵武将周仓，且是其升星所需材料.,1,8,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,陈到碎片,收集10个陈到碎片，可合成1星骑兵武将陈到，且是其升星所需材料.,1,8,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2096,关平碎片,收集10个关平碎片，可合成1星骑兵武将关平，且是其升星所需材料.,1,8,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2097,马岱碎片,收集10个马岱碎片，可合成1星骑兵武将马岱，且是其升星所需材料.,1,8,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2098,华雄碎片,收集10个华雄碎片，可合成1星骑兵武将华雄，且是其升星所需材料.,2,8,,,,,98,,,,,,,,,,,,,,,,,,,5 5 5 9,,203,20301,,204,20402,,212,21202,,,,,,,,,
2099,糜夫人碎片,收集10个糜夫人碎片，可合成1星军师武将糜夫人，且是其升星所需材料.,1,8,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,杨修碎片,收集10个杨修碎片，可合成1星军师武将杨修，且是其升星所需材料.,1,8,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,孔融碎片,收集10个孔融碎片，可合成1星军师武将孔融，且是其升星所需材料.,1,8,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102,祢衡碎片,收集10个祢衡碎片，可合成1星军师武将祢衡，且是其升星所需材料.,1,8,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,杨仪碎片,收集10个杨仪碎片，可合成1星军师武将杨仪，且是其升星所需材料.,1,8,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2104,杜氏碎片,收集10个杜氏碎片，可合成1星弓兵武将杜氏，且是其升星所需材料.,1,8,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105,樊氏碎片,收集10个樊氏碎片，可合成1星军师武将樊氏，且是其升星所需材料.,1,8,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2106,蔡氏碎片,收集10个蔡氏碎片，可合成1星军师武将蔡氏，且是其升星所需材料.,1,8,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107,丁夫人碎片,收集10个丁夫人碎片，可合成1星弓兵武将丁夫人，且是其升星所需材料.,1,8,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2108,简雍碎片,收集10个简雍碎片，可合成1星弓兵武将简雍，且是其升星所需材料.,1,8,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,李典碎片,收集10个李典碎片，可合成1星骑兵武将李典，且是其升星所需材料.,2,8,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110,袁术碎片,收集10个袁术碎片，可合成1星弓兵武将袁术，且是其升星所需材料.,1,8,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111,公孙瓒碎片,收集30个公孙瓒碎片，可合成2星骑兵武将公孙瓒，且是其升星所需材料.,1,8,,,,,111,,,,,,,,,,,,,,,,,,,5 5 9,,203,20305,,205,20504,,,,,,,,,,,,
2112,蒋钦碎片,收集10个蒋钦碎片，可合成1星弓兵武将蒋钦，且是其升星所需材料.,1,8,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,徐盛碎片,收集10个徐盛碎片，可合成1星弓兵武将徐盛，且是其升星所需材料.,1,8,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,丁奉碎片,收集10个丁奉碎片，可合成1星步兵武将丁奉，且是其升星所需材料.,1,8,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,宋谦碎片,收集10个宋谦碎片，可合成1星弓兵武将宋谦，且是其升星所需材料.,1,8,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2116,沙摩柯碎片,收集10个沙摩柯碎片，可合成1星弓兵武将沙摩柯，且是其升星所需材料.,1,8,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2117,吴国太碎片,收集10个吴国太碎片，可合成1星弓兵武将吴国太，且是其升星所需材料.,1,8,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2118,羊徽瑜碎片,收集10个羊徽瑜碎片，可合成1星弓兵武将羊徽瑜，且是其升星所需材料.,1,8,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,夏侯徽碎片,收集10个夏侯徽碎片，可合成1星弓兵武将夏侯徽，且是其升星所需材料.,1,8,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
