武将ID,武将名称,阵营,职业ID,职业名称,星级,初始生命,初始攻击,初始防御,生命成长,攻击成长,防御成长,初始闪避,初始命中,初始格挡,初始破击,初始暴击,初始韧性,初始爆伤,初始抵抗,移动速度,攻击速度,攻击距离,普攻子弹ID,必杀技ID,必杀技CD,技能配音ID,进化1材料,进化2材料,进化3材料,进化4材料,进化5材料,进化6材料,进化7材料,进化8材料,进化9材料,进化10材料,进化11材料,进化12材料,武将简介,头像资源,人物资源,卡牌资源,骨骼动画,通用模型技能动作,骨骼比例,骨骼特效,骨骼特效比例,权值,掉落区域,性别,被动技能1,被动技能2,被动技能3,首轮顺序,循环顺序,情缘,图鉴开关
133,华歆,2,1,步兵,1,2228,255,295,224.7,25.9,29.7,0,0,0,0,0,0,0,0,,100,,253,131,15000,191,6004 6003 6002 6002 6001 6001,6028 6023 6014 6014 6011 6001,6078 6046 6021 6014 6011 6002,6095 6093 6048 6041 6011 6013,6094 6093 6074 6047 6011 6021,6148 6095 6091 6078 6011 6044,6147 6143 6091 6077 6011 6044,6192 6144 6126 6092 6011 6046,6195 6174 6142 6094 6011 6047,6196 6192 6123 6093 6011 6077,6226 6212 6192 6176 6011 6125,6228 6226 6198 6171 6011 6124,华歆，字子鱼，平原郡高唐人。华歆初为地方小吏。何进入朝时召华歆入京任尚书郎。孙策占据江东时对华歆亦器重。后来曹操通过天子征召华歆，被封为议郎，升任尚书。曹操建立魏国时，华歆任御史大夫，曹丕继位时封他为相国、安乐乡侯。曹丕称帝时，任命华歆为司徒。魏明帝继位，封华歆为博平侯，曾经谏议魏明帝着重治理国家，使魏明帝撤回伐蜀军队。华歆死后谥号敬侯。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/bubing2_y,skill2,65,,,,,,1378,1379,0,0=0=1=0,0=1=0=0,,
134,文钦,4,3,骑兵,1,1975,310,246,198.7,31.5,24.8,0,0,0,0,0,0,0,0,,100,,259,147,15000,192,6004 6004 6003 6003 6002 6001,6026 6024 6014 6012 6012 6001,6073 6043 6028 6013 6012 6003,6097 6094 6048 6042 6022 6014,6097 6095 6073 6043 6042 6021,6146 6094 6091 6076 6048 6045,6148 6145 6095 6078 6075 6041,6197 6145 6127 6094 6074 6047,6195 6176 6144 6098 6091 6042,6195 6191 6121 6097 6096 6076,6228 6211 6194 6172 6147 6123,6223 6221 6194 6173 6143 6127,文钦，字仲若，曾任庐江太守，扬州刺史。初为魏将，后因反魏被邓艾打败之后投奔吴国，出任前将军、征北大将军。甘露二年（公元２６６年），率军援助诸葛诞时，被诸葛诞寻隙杀死。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/qibing2_y,skill,65,,,,,,1380,1381,0,0=0=1=0,0=1=0=0,,
135,李傕,1,3,骑兵,1,1977,303,247,198.9,30.7,24.9,0,0,0,0,0,0,0,0,,100,,259,146,15000,193,6004 6003 6003 6002 6001 6001,6027 6023 6014 6013 6011 6001,6073 6044 6023 6013 6011 6004,6097 6092 6048 6047 6021 6012,6095 6094 6075 6045 6043 6023,6145 6097 6092 6078 6045 6041,6148 6146 6096 6074 6074 6041,6196 6146 6124 6097 6074 6044,6192 6176 6141 6095 6095 6041,6196 6192 6125 6098 6096 6077,6222 6215 6198 6171 6146 6124,6228 6227 6191 6177 6147 6126,李傕，北地郡人。董卓的部下，被派往陈留、颍川等地劫掠。董卓被杀后，归无所依，于是采用贾诩之谋，伙同李傕、张济、樊稠等原董卓部曲将攻向长安，击败吕布，杀死王允等人，占领长安，把持朝廷大权。后诸将不和，相互交战，随汉献帝东归前往弘农。后李傕、郭汜、张济反悔，联合起来追击汉献帝，与杨奉、董承等人几翻交战。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/qibing2_y,skill,65,,,,,,1382,1383,0,0=0=1=0,0=1=0=0,,
136,文鸯,4,4,弓兵,1,1138,424,162,115,42.8,16.7,0,0,0,0,0,0,0,0,,100,,265,28,15000,112,6004 6004 6003 6003 6002 6001,6028 6026 6014 6013 6013 6001,6074 6048 6027 6013 6013 6002,6098 6093 6048 6046 6025 6013,6098 6097 6075 6045 6044 6027,6144 6095 6093 6076 6046 6044,6148 6143 6094 6077 6076 6048,6198 6148 6126 6095 6078 6043,6194 6175 6141 6098 6093 6043,6196 6195 6121 6098 6097 6075,6227 6216 6197 6176 6143 6126,6224 6224 6195 6176 6147 6124,文鸯，字文淑，原魏将文钦次子。黄武四年（公元225年），司马师废魏主，扬州都督毋丘佥和刺史文钦兴兵讨伐司马师，文鸯年方十八而拜先锋，与敌阵冲杀，有赵子龙之勇。毋丘佥兵败之后，文钦父子投奔东吴。太平二年（公元257年），诸葛诞起兵反司马昭，文钦父子前往援助。因诸葛诞寻隙杀死文钦，文鸯和弟弟文虎投降司马昭，任偏将军，封关内侯。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/gongbing2,skill2,54,,,,4,,1247,1248,1249,0=0=1=0,0=1=0=0,,
137,文聘,2,3,骑兵,1,1883,305,246,189.5,30.9,24.8,0,0,0,0,0,0,0,0,,100,,259,115,15000,191,6004 6004 6003 6003 6002 6001,6028 6025 6013 6013 6012 6003,6073 6043 6022 6011 6011 6002,6097 6095 6044 6042 6027 6012,6097 6096 6073 6046 6045 6023,6148 6095 6093 6076 6046 6043,6148 6148 6097 6078 6075 6042,6196 6143 6121 6094 6071 6041,6192 6173 6146 6097 6094 6043,6198 6192 6128 6094 6092 6072,6221 6217 6194 6171 6147 6123,6225 6221 6191 6171 6144 6123,文聘，字仲业，南阳宛人，三国时曹魏名将。本是荆州刘表的大将，镇守荆北。刘表死后，其子刘琮降曹操。文聘初不随见曹操，直至曹操召聘相见，问其何以迟，文聘表示自己不能保全土境，愧于见人。曹操被其所感动，委以兵马之重，先令其引军追击刘备，后对江夏太守，使其典北兵、镇荆江。文聘也不负所望，多次引兵阻遏关羽之师，立下莫大之功。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/qibing2_y,skill,65,,,,,,1384,1385,0,0=0=1=0,0=1=0=0,,
138,蔡瑁,2,4,弓兵,1,1156,434,158,116.8,43.8,16.3,0,0,0,0,0,0,0,0,,100,,265,123,15000,192,6004 6003 6002 6002 6001 6001,6028 6022 6014 6013 6011 6001,6071 6045 6027 6012 6011 6004,6097 6096 6045 6043 6022 6013,6095 6092 6077 6046 6044 6025,6147 6098 6091 6073 6046 6041,6146 6142 6094 6076 6074 6041,6198 6145 6128 6093 6074 6045,6195 6178 6144 6095 6094 6048,6191 6191 6124 6096 6094 6075,6224 6218 6191 6171 6145 6126,6223 6222 6195 6172 6148 6128,蔡瑁，字德珪，襄阳蔡州人。蔡瑁性格骄豪自喜。蔡氏乃襄阳大族，刘表初至荆州，使即以蔡瑁为辅。蔡瑁以刘琮为嗣，并降曹操。被用为从事中郎，司马长水校尉，封汉阳亭侯。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/gongbing2,skill2,54,,,,,,1386,1387,0,0=0=1=0,0=1=0=0,,
139,张燕,1,1,步兵,1,2210,255,292,222.9,25.9,29.4,0,0,0,0,0,0,0,0,,100,,253,136,15000,193,6004 6003 6003 6002 6002 6001,6023 6023 6014 6013 6012 6004,6078 6043 6024 6012 6011 6004,6092 6091 6044 6043 6026 6014,6092 6091 6077 6046 6042 6023,6144 6097 6097 6075 6048 6043,6147 6145 6091 6078 6072 6048,6194 6143 6127 6096 6078 6043,6197 6176 6141 6098 6095 6047,6198 6194 6121 6095 6094 6076,6225 6213 6195 6174 6145 6121,6227 6226 6196 6178 6143 6128,张燕，常山真定人，原名褚燕，黄巾起义爆发后，他聚众万余人响应，不久合并于张牛角领导的起义军。曾与常山、赵郡、中山、上党、河内的各起义军联合，势力不断发展壮大，达到百万，号称黑山军，是汉末的一股大势力。张燕与公孙瓒联合，与袁绍多次交战，后被击败，实力稍稍减弱。曹操平定河北时期，张燕率众归顺，被封为平北将军、安国亭侯。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/bubing2_y,skill2,65,,,,4,,1250,1251,1252,0=0=1=0,0=1=0=0,,
140,韩浩,2,1,步兵,1,2296,248,297,231.7,25.2,29.9,0,0,0,0,0,0,0,0,,100,,253,143,15000,191,6003 6003 6002 6002 6001 6001,6028 6025 6014 6013 6013 6002,6075 6044 6025 6011 6011 6004,6097 6093 6042 6041 6024 6012,6096 6094 6073 6047 6047 6025,6141 6095 6094 6072 6048 6048,6148 6142 6098 6074 6073 6043,6195 6145 6124 6091 6071 6044,6194 6177 6142 6096 6095 6045,6196 6196 6124 6097 6093 6075,6227 6214 6193 6177 6148 6122,6226 6221 6197 6177 6142 6124,韩浩，字符嗣，善于治军，颇具智略，大半生都担任中护军一职典掌曹操的禁卫亲兵，死于任内，以忠勇闻名于世。他是最早向曹操提出屯田方案的人之一。据裴松之注引魏书：「议者以（韩）浩智略足以绥边，欲留使都督诸军，镇汉中。太祖（曹操）曰：『吾安可无护军？』乃与俱还。其见亲任如此。」,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/bubing2_y,skill2,65,,,,,,1388,1389,0,0=0=1=0,0=1=0=0,,
141,花蔓,3,5,军师,1,1252,388,173,126.4,39.3,17.5,0,0,0,0,0,0,0,0,,100,,271,110,15000,174,6004 6004 6003 6002 6001 6001,6027 6023 6014 6011 6011 6004,6076 6044 6024 6013 6011 6004,6093 6093 6048 6044 6028 6014,6098 6091 6075 6046 6044 6023,6144 6098 6094 6076 6046 6044,6148 6144 6092 6072 6071 6048,6191 6142 6122 6092 6075 6046,6196 6178 6141 6092 6091 6044,6197 6195 6127 6098 6097 6078,6227 6217 6197 6171 6143 6122,6226 6221 6195 6172 6145 6123,关索妻子;孟获之女,resource/head_pic/HuaMan.png,resource/hero_pic/HuaManA.jpg,resource/card_pic/HuaMan.jpg,resource/bones/junshi3nv,skill2,50,,,,,1,1390,1391,0,0=0=1=0,0=1=0=0,,
142,吕玲绮,1,5,军师,1,1255,397,173,126.7,40.2,17.5,0,0,0,0,0,0,0,0,,100,,271,126,15000,174,6004 6003 6002 6002 6001 6001,6025 6023 6013 6012 6011 6004,6074 6043 6024 6012 6011 6004,6093 6092 6045 6041 6025 6014,6092 6092 6076 6048 6045 6024,6142 6097 6096 6072 6043 6042,6148 6148 6093 6077 6075 6044,6198 6146 6125 6098 6072 6044,6197 6175 6148 6097 6091 6041,6198 6191 6127 6095 6091 6075,6223 6217 6197 6178 6148 6128,6225 6223 6198 6178 6142 6127,吕布之女，勇武,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi3nv,skill2,50,,,,,1,1392,1393,0,0=0=1=0,0=1=0=0,,
143,太史昭容,4,5,军师,1,1227,397,177,123.9,40.2,17.9,0,0,0,0,0,0,0,0,,100,,271,127,15000,174,6004 6004 6003 6003 6002 6001,6026 6025 6014 6013 6012 6001,6073 6042 6027 6012 6011 6002,6097 6091 6046 6042 6023 6012,6097 6091 6073 6043 6042 6022,6141 6098 6097 6075 6046 6045,6145 6141 6095 6076 6072 6043,6197 6141 6125 6098 6076 6047,6196 6178 6145 6096 6092 6046,6194 6194 6126 6096 6091 6074,6221 6213 6196 6175 6148 6126,6225 6223 6194 6178 6141 6121,太史慈之女,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi3nv,skill2,50,,,,,1,1394,1395,0,0=0=1=0,0=1=0=0,,
144,顾雍,4,5,军师,1,1279,397,176,129.2,40.2,17.8,0,0,0,0,0,0,0,0,,100,,271,167,15000,192,6004 6004 6003 6003 6002 6002,6023 6021 6013 6012 6011 6001,6076 6042 6021 6013 6011 6004,6095 6092 6048 6045 6021 6013,6097 6095 6078 6047 6046 6027,6144 6097 6095 6076 6046 6042,6146 6146 6098 6078 6071 6045,6194 6143 6124 6097 6072 6047,6194 6171 6144 6097 6093 6044,6197 6194 6121 6097 6097 6072,6228 6216 6191 6175 6143 6124,6227 6223 6194 6175 6143 6124,顾雍，字符叹，吴郡吴县人。弱冠为合肥长，后历任数县，所在多有治绩。孙权掌权后，任命他为会稽郡丞，行太守事，后不断升迁，成为吴国第二任丞相。顾雍为人严肃，不饮酒，少言语，自孙权上下对其多有忌惮。顾雍为相十九年，多进良言，有功于吴，后病逝，孙权亲自临吊，谥曰肃侯。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi2,skill2,55,,,,,,1396,1397,0,0=0=1=0,0=1=0=0,,
145,诸葛瑾,4,5,军师,1,1255,401,176,126.7,40.7,17.8,0,0,0,0,0,0,0,0,,100,,271,114,15000,193,6004 6004 6003 6003 6002 6002,6024 6022 6013 6013 6011 6001,6072 6047 6022 6014 6012 6003,6093 6091 6045 6043 6025 6013,6093 6092 6075 6047 6042 6023,6146 6092 6091 6071 6044 6043,6146 6143 6096 6075 6072 6045,6197 6148 6124 6096 6077 6042,6191 6175 6144 6093 6091 6048,6197 6196 6122 6096 6094 6073,6224 6211 6191 6174 6144 6122,6228 6221 6193 6176 6141 6123,诸葛谨，字子瑜，诸葛亮之兄，经鲁肃推荐，为东吴效力。胸怀宽广，温厚诚信，得到孙权的深深信赖，努力缓和蜀汉与东吴的关系。吕蒙去世后，诸葛谨代吕蒙领南郡太守，驻守公安。孙权称帝后，诸葛谨官至大将军，领豫州牧。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi2,skill2,55,,,,,,1398,1399,0,0=0=1=0,0=1=0=0,,
146,荀攸,2,5,军师,1,1238,394,174,125,39.9,17.6,0,0,0,0,0,0,0,0,,100,,271,164,15000,191,6004 6004 6002 6002 6001 6001,6025 6023 6013 6012 6011 6002,6072 6048 6027 6014 6012 6002,6096 6094 6045 6043 6028 6012,6098 6095 6076 6042 6041 6022,6146 6098 6095 6073 6046 6044,6145 6142 6091 6076 6072 6044,6195 6146 6125 6093 6071 6046,6193 6173 6146 6092 6091 6044,6195 6193 6123 6097 6093 6072,6228 6211 6193 6178 6141 6122,6226 6223 6194 6173 6145 6125,荀攸，字公达，颍川颍阴人。年少就很有名气，被朝廷任为黄门侍郎。荀攸上表为蜀郡太守，但因道路难行留在荆州，不久就被曹操请去任军师。曹操攻打张绣、吕布、袁绍等强敌时，荀攸都在他身边为他出谋画策，并每每成功。荀攸也因此一直升官加职，一直做到了尚书令。荀攸备受曹操，曹丕敬重，有次他生病，去探病的曹丕竟拜倒在他的床边。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi2,skill2,55,,,,4,,1253,1254,1255,0=0=1=0,0=1=0=0,,
147,程昱,2,5,军师,1,1238,400,176,125,40.6,17.8,0,0,0,0,0,0,0,0,,100,,271,150,15000,192,6004 6003 6002 6002 6001 6001,6023 6022 6013 6013 6011 6001,6072 6045 6028 6014 6014 6001,6096 6093 6046 6043 6027 6013,6097 6097 6075 6047 6046 6028,6141 6095 6092 6078 6045 6041,6144 6144 6092 6075 6071 6042,6198 6145 6122 6097 6077 6046,6191 6172 6148 6094 6093 6043,6191 6191 6121 6092 6092 6074,6224 6218 6198 6178 6143 6127,6225 6223 6196 6175 6142 6125,程昱，字仲德，东郡东阿人。三国时魏国名臣，身高八尺三寸，美须髯。曾于东阿率领民众抗击黄巾。后从曹操于兖州，封寿张令。曹操征徐州时，程昱与荀彧留守后方，阻吕布、陈宫大军，保住三城，因功受封为东平相，屯于范县。昱常为曹操出谋献策，汉献帝定都许昌后，以程昱为尚书，后又为东中郎将，领济阴太守，都督兖州事宜。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi2,skill2,55,,,,,,1400,1401,0,0=0=1=0,0=1=0=0,,
148,曹植,2,5,军师,1,1268,402,179,128,40.7,18.1,0,0,0,0,0,0,0,0,,100,,271,40,15000,123,6004 6004 6003 6002 6002 6001,6024 6021 6014 6012 6012 6004,6077 6047 6022 6014 6012 6003,6095 6092 6047 6042 6024 6013,6096 6093 6078 6045 6041 6026,6144 6097 6093 6078 6047 6043,6146 6141 6092 6078 6071 6046,6196 6143 6122 6092 6071 6042,6194 6176 6146 6098 6091 6047,6194 6191 6126 6098 6096 6071,6226 6215 6198 6171 6145 6126,6228 6228 6192 6176 6146 6124,曹植，字子建，沛国谯县人。曹操之子。曹植很有才学，早年被曹操宠爱，几乎被立为太子，后失宠。魏文帝时，他受兄长曹丕的猜忌和迫害，屡遭贬爵和改换封地。魏明帝时，曹植多次上书，希望能够得到任用，但终未能如愿，忧郁而死，年仅四十一岁。曹植为建安文学中成就最高者，其诗以笔力雄健和词采画眉见长，留有集三十卷，已佚，今存《曹子建集》为宋人所编。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi2,skill2,55,,,,4,,1256,1257,1258,0=0=1=0,0=1=0=0,,
149,许攸,2,5,军师,1,1264,402,180,127.7,40.7,18.2,0,0,0,0,0,0,0,0,,100,,271,151,15000,191,6004 6004 6003 6003 6002 6002,6028 6024 6014 6014 6011 6001,6072 6042 6024 6013 6013 6004,6097 6096 6047 6046 6021 6012,6097 6095 6074 6045 6044 6023,6142 6097 6092 6077 6047 6046,6147 6142 6093 6077 6072 6046,6195 6146 6125 6095 6074 6046,6195 6171 6146 6097 6092 6047,6195 6191 6127 6093 6091 6076,6222 6217 6193 6175 6147 6124,6227 6222 6194 6176 6148 6122,许攸，字子远，许攸年青时与袁绍、曹操相友善，后来成为袁绍的谋士，多次为袁绍出谋划策均不被听从，深感不满。官渡之战之际，许攸因家人犯法被收治而投奔曹操，提供了重要情报，建议曹操偷袭乌巢，结果大获全胜。官渡之战后，许攸跟随曹操平定冀州，立有功劳，但许攸傲慢无礼，口无遮拦，最终触怒曹操，被杀。,resource/head_pic/XuYou.png,resource/hero_pic/XuYouA.jpg,resource/card_pic/XuYou.jpg,resource/bones/junshi2,skill2,55,,,,,,1402,1403,0,0=0=1=0,0=1=0=0,,
150,李严,3,5,军师,1,1209,413,177,122.1,41.9,17.9,0,0,0,0,0,0,0,0,,100,,271,149,15000,192,6004 6004 6003 6002 6002 6001,6027 6026 6012 6012 6011 6001,6076 6044 6026 6013 6011 6001,6097 6093 6048 6042 6011 6011,6098 6094 6077 6043 6011 6023,6141 6095 6095 6071 6011 6045,6145 6141 6092 6078 6011 6048,6198 6143 6125 6098 6011 6046,6194 6171 6142 6097 6011 6045,6198 6191 6122 6096 6011 6075,6228 6212 6198 6178 6011 6122,6226 6225 6191 6173 6011 6122,李严，字正方，南阳郡人。李严少有才干，初为刘璋部下，后来投奔刘备，出任辅国大将军、尚书令。刘禅继位之后出任中都护，与诸葛亮一起管理国事。诸葛亮出兵祁山期间，李严负责催办军粮。因连降大雨无法供给军粮，便请诸葛亮回师。此后又称诸葛亮故意回师，想为自己开脱罪责，后被诸葛亮查明真相，奏请刘禅将李严废为平民。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi2,skill2,55,,,,,,1404,1405,0,0=0=1=0,0=1=0=0,,
151,张角,1,5,军师,1,1231,425,175,124.3,43.1,17.7,0,87,0,87,112,12,15,87,,100,,519,17,15000,104,6004 6003 6002 6002 6001 6001,6028 6028 6014 6012 6012 6004,6072 6041 6022 6013 6011 6003,6093 6091 6045 6043 6021 6013,6097 6091 6072 6042 6041 6024,6144 6095 6093 6076 6047 6045,6145 6141 6094 6077 6073 6044,6192 6142 6121 6098 6077 6042,6194 6172 6148 6095 6094 6045,6196 6195 6124 6096 6093 6073,6226 6214 6194 6178 6143 6121,6227 6225 6193 6176 6144 6122,张角，巨鹿（今河北巨鹿）人。中国东汉末年农民起义军“黄巾军”的领袖，太平道的创始人。以宗教救世为己任，利用其中的某些宗教观念和社会政治思想，组织群众，张角以“苍天已死，黄天当立，岁在甲子，天下大吉”为口号，自称“天公将军”，率领群众发动起义，史称“黄巾起义”。不久张角病死，起义军也很快被汉朝所镇压。,resource/head_pic/ZhangJiao.png,resource/hero_pic/ZhangJiaoA.jpg,resource/card_pic/ZhangJiao.jpg,resource/bones/ZhangJiao,skill,80,resource/bones/ZhangJiao_e,90,150,4,,1259,1260,1261,0=1=2=0,0=1=2=0,1=20=1=20=0=太平妖术 1=1=3=20=0=力斩黄巾 1=14;259;123;111=1;2=25;25=0;0=群雄乱舞 2=30=2=23=0=天师符 2=60=3=23=0=太平道袍,1
152,郭女王,2,4,弓兵,1,1110,431,163,112.2,43.5,16.8,25,62,87,0,125,50,25,0,,100,,167,16,15000,168,6004 6004 6003 6003 6001 6001,6027 6023 6014 6013 6012 6001,6075 6044 6023 6013 6011 6001,6097 6095 6043 6041 6026 6011,6095 6094 6074 6045 6043 6026,6146 6094 6094 6071 6047 6043,6141 6141 6098 6075 6072 6041,6192 6145 6122 6093 6073 6046,6196 6176 6142 6098 6094 6044,6198 6192 6127 6098 6093 6071,6224 6217 6198 6173 6146 6127,6225 6222 6196 6177 6148 6128,郭女王，穆皇后，曹丕的妻子，曹丕因为她而杀甄姬，荆州南郡太守郭永的女儿，自幼聪慧漂亮，有计谋，耍手段,resource/head_pic/GuoNvWang.png,resource/hero_pic/GuoNvWangA.jpg,resource/card_pic/GuoNvWang.jpg,resource/bones/GuoNvWang,skill,80,resource/bones/GuoNvWang_e,90,,4,1,1094,1095,1096,3=0=2=1,0=1=0=2,1=74=1=22=0=文德皇后 1=42=2=20=0=女王与野兽 1=28;36=1=30=0;0=贵为皇后 2=31=2=24=0=麒麟弓 2=58=3=19=0=霓虹羽衣,
153,诸葛果,3,5,军师,1,1248,409,185,126,41.4,18.7,100,25,12,62,112,25,10,62,,100,,142,116,15000,190,6003 6003 6002 6002 6001 6001,6026 6025 6013 6013 6011 6003,6074 6048 6027 6011 6011 6004,6098 6097 6046 6042 6023 6011,6097 6094 6077 6045 6043 6027,6146 6097 6097 6078 6047 6044,6147 6142 6096 6075 6071 6043,6198 6146 6126 6092 6076 6042,6198 6171 6146 6098 6094 6044,6193 6191 6126 6095 6093 6075,6226 6218 6191 6176 6144 6127,6227 6224 6196 6173 6145 6127,诸葛亮的女儿，在成都西南朝真观（即乘烟观）修行并羽化升天,resource/head_pic/ZhuGeGuo.png,resource/hero_pic/ZhuGeGuoA.jpg,resource/card_pic/ZhuGeGuo.jpg,resource/bones/ZhuGeGuo,skill,80,resource/bones/ZhuGeGuo_e,100,150,4,1,1262,1263,1264,0=0=2=1,0=0=2=1,1=12=1=21=0=母女情深 1=9=2=23=0=慈父爱女 1=55=3=22=0=蜀汉之花 2=15=2=24=0=豪风蓝凤杖 2=163=3=21=0=怒涛法履,
154,文蕊,1,4,弓兵,1,1120,447,159,113.2,45.1,16.4,0,0,0,0,0,0,0,0,,100,,265,107,15000,174,6004 6004 6003 6002 6001 6001,6025 6023 6014 6012 6012 6003,6074 6043 6027 6012 6011 6003,6094 6091 6044 6044 6028 6011,6098 6092 6073 6044 6043 6023,6144 6095 6093 6071 6047 6047,6145 6141 6095 6075 6075 6043,6197 6145 6123 6092 6078 6043,6198 6173 6148 6095 6091 6043,6198 6191 6127 6095 6091 6071,6222 6213 6193 6174 6147 6121,6227 6225 6191 6176 6145 6125,文丑之女，勇武过人,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/gongbing2,skill2,54,,,,,1,1406,1407,0,0=0=1=0,0=1=0=0,,
155,糜竺,3,4,弓兵,1,1105,436,164,111.7,44,16.9,0,0,0,0,0,0,0,0,,100,,265,108,15000,192,6004 6004 6003 6003 6002 6002,6028 6026 6014 6014 6011 6001,6077 6046 6026 6013 6012 6002,6092 6091 6047 6041 6028 6012,6095 6095 6071 6048 6043 6025,6146 6096 6091 6072 6045 6044,6147 6145 6096 6073 6071 6045,6198 6148 6125 6095 6074 6046,6195 6177 6141 6095 6094 6045,6195 6194 6126 6094 6094 6077,6227 6215 6194 6175 6141 6127,6227 6224 6191 6171 6142 6122,麋竺，字子仲，出身于商业世家，僮客万人，货殖巨亿。谦卒，麋竺迎先主于小沛。吕布趁虚夺徐州后，先主转战海西，军资匮乏，竺忠心不移，倾囊相助，并进妹于先主，先主军势复振。尽管曹操后表他和其弟麋芳为官，但都不就职，随先主周旋。先主投奔刘表，先使竺通报。尽管他不善统军，一生没率过士卒，但雍容风雅、秉性纯良，受到了很高的优待。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/gongbing2,skill2,54,,,,,,1408,1409,0,0=0=1=0,0=1=0=0,,
156,蒋干,2,1,步兵,1,2268,257,285,228.8,26.1,28.7,0,0,0,0,0,0,0,0,,100,,253,142,15000,193,6004 6003 6003 6002 6002 6001,6027 6021 6014 6012 6011 6004,6072 6042 6024 6011 6011 6004,6093 6092 6048 6047 6028 6012,6098 6095 6071 6047 6043 6025,6148 6094 6092 6075 6048 6043,6148 6144 6098 6078 6074 6044,6192 6146 6123 6095 6075 6044,6192 6171 6142 6095 6093 6042,6198 6195 6123 6097 6093 6078,6222 6216 6193 6171 6147 6122,6228 6222 6197 6175 6145 6124,蒋干，字子翼，九江人氏，为曹操帐下幕宾。赤壁之战时，奉命欲招降周瑜，反中周瑜之反间计，致使曹操误斩蔡瑁、张允两员水军大将，间接导致曹军赤壁兵败。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/bubing2_y,skill2,65,,,,,,1410,1411,0,0=0=1=0,0=1=0=0,,
157,兀突骨,3,1,步兵,1,2225,254,285,224.5,25.8,28.7,0,0,0,0,0,0,0,0,,100,,253,170,15000,191,6004 6003 6003 6002 6002 6001,6026 6024 6014 6013 6012 6002,6072 6042 6027 6012 6011 6002,6096 6091 6043 6042 6026 6011,6098 6098 6074 6043 6041 6021,6147 6098 6097 6077 6045 6043,6145 6143 6098 6078 6077 6045,6194 6143 6122 6094 6077 6044,6197 6172 6145 6095 6093 6046,6194 6192 6122 6097 6096 6072,6222 6213 6198 6175 6147 6127,6222 6222 6195 6176 6146 6127,兀突骨，南蛮乌戈国主。身长丈二，不食五谷，蛇兽为饭；遍体鳞甲，刀箭不入。骑象当先，头戴日月狼须帽，身披金珠缨络，两肋下露出生鳞甲，眼目中微有光芒。领藤甲军助孟获拒诸葛平南。被诸葛亮施计引入盘蛇谷中，尽烧其众，无所生还。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/bubing2_y,skill2,65,,,,,,1412,1413,0,0=0=1=0,0=1=0=0,,
