技能id,等级,需要材料,需要银币,需求等级
1217,17,34=38,104000,80
1217,18,34=42,112000,85
1217,19,34=46,120000,90
1217,20,34=50,128000,95
1218,1,31=1,0,0
1218,2,31=2,500,6
1218,3,31=3,1000,10
1218,4,31=4,2000,15
1218,5,31=5,4000,20
1218,6,32=6,8000,25
1218,7,32=8,10000,30
1218,8,32=10,12000,35
1218,9,32=12,14000,40
1218,10,32=14,16000,45
1218,11,33=17,32000,50
1218,12,33=20,36000,55
1218,13,33=23,40000,60
1218,14,33=26,44000,65
1218,15,33=30,48000,70
1218,16,34=34,96000,75
1218,17,34=38,104000,80
1218,18,34=42,112000,85
1218,19,34=46,120000,90
1218,20,34=50,128000,95
1219,1,31=1,0,0
1219,2,31=2,500,6
1219,3,31=3,1000,10
1219,4,31=4,2000,15
1219,5,31=5,4000,20
1219,6,32=6,8000,25
1219,7,32=8,10000,30
1219,8,32=10,12000,35
1219,9,32=12,14000,40
1219,10,32=14,16000,45
1219,11,33=17,32000,50
1219,12,33=20,36000,55
1219,13,33=23,40000,60
1219,14,33=26,44000,65
1219,15,33=30,48000,70
1219,16,34=34,96000,75
1219,17,34=38,104000,80
1219,18,34=42,112000,85
1219,19,34=46,120000,90
1219,20,34=50,128000,95
1220,1,31=1,0,0
1220,2,31=2,500,6
1220,3,31=3,1000,10
1220,4,31=4,2000,15
1220,5,31=5,4000,20
1220,6,32=6,8000,25
1220,7,32=8,10000,30
1220,8,32=10,12000,35
1220,9,32=12,14000,40
1220,10,32=14,16000,45
1220,11,33=17,32000,50
1220,12,33=20,36000,55
1220,13,33=23,40000,60
1220,14,33=26,44000,65
1220,15,33=30,48000,70
1220,16,34=34,96000,75
1220,17,34=38,104000,80
1220,18,34=42,112000,85
1220,19,34=46,120000,90
1220,20,34=50,128000,95
1221,1,31=1,0,0
1221,2,31=2,500,6
1221,3,31=3,1000,10
1221,4,31=4,2000,15
1221,5,31=5,4000,20
1221,6,32=6,8000,25
1221,7,32=8,10000,30
1221,8,32=10,12000,35
1221,9,32=12,14000,40
1221,10,32=14,16000,45
1221,11,33=17,32000,50
1221,12,33=20,36000,55
1221,13,33=23,40000,60
1221,14,33=26,44000,65
1221,15,33=30,48000,70
1221,16,34=34,96000,75
1221,17,34=38,104000,80
1221,18,34=42,112000,85
1221,19,34=46,120000,90
1221,20,34=50,128000,95
1222,1,31=1,0,0
1222,2,31=2,500,6
1222,3,31=3,1000,10
1222,4,31=4,2000,15
1222,5,31=5,4000,20
1222,6,32=6,8000,25
1222,7,32=8,10000,30
1222,8,32=10,12000,35
1222,9,32=12,14000,40
1222,10,32=14,16000,45
1222,11,33=17,32000,50
1222,12,33=20,36000,55
1222,13,33=23,40000,60
1222,14,33=26,44000,65
1222,15,33=30,48000,70
1222,16,34=34,96000,75
1222,17,34=38,104000,80
1222,18,34=42,112000,85
1222,19,34=46,120000,90
1222,20,34=50,128000,95
1223,1,31=1,0,0
1223,2,31=2,500,6
1223,3,31=3,1000,10
1223,4,31=4,2000,15
1223,5,31=5,4000,20
1223,6,32=6,8000,25
1223,7,32=8,10000,30
1223,8,32=10,12000,35
1223,9,32=12,14000,40
1223,10,32=14,16000,45
1223,11,33=17,32000,50
1223,12,33=20,36000,55
1223,13,33=23,40000,60
1223,14,33=26,44000,65
1223,15,33=30,48000,70
1223,16,34=34,96000,75
1223,17,34=38,104000,80
1223,18,34=42,112000,85
1223,19,34=46,120000,90
1223,20,34=50,128000,95
1224,1,31=1,0,0
1224,2,31=2,500,6
1224,3,31=3,1000,10
1224,4,31=4,2000,15
1224,5,31=5,4000,20
1224,6,32=6,8000,25
1224,7,32=8,10000,30
1224,8,32=10,12000,35
1224,9,32=12,14000,40
1224,10,32=14,16000,45
1224,11,33=17,32000,50
1224,12,33=20,36000,55
1224,13,33=23,40000,60
1224,14,33=26,44000,65
1224,15,33=30,48000,70
1224,16,34=34,96000,75
1224,17,34=38,104000,80
1224,18,34=42,112000,85
1224,19,34=46,120000,90
1224,20,34=50,128000,95
1225,1,31=1,0,0
1225,2,31=2,500,6
1225,3,31=3,1000,10
1225,4,31=4,2000,15
1225,5,31=5,4000,20
1225,6,32=6,8000,25
1225,7,32=8,10000,30
1225,8,32=10,12000,35
1225,9,32=12,14000,40
1225,10,32=14,16000,45
1225,11,33=17,32000,50
1225,12,33=20,36000,55
1225,13,33=23,40000,60
1225,14,33=26,44000,65
1225,15,33=30,48000,70
1225,16,34=34,96000,75
1225,17,34=38,104000,80
1225,18,34=42,112000,85
1225,19,34=46,120000,90
1225,20,34=50,128000,95
1226,1,31=1,0,0
1226,2,31=2,500,6
1226,3,31=3,1000,10
1226,4,31=4,2000,15
1226,5,31=5,4000,20
1226,6,32=6,8000,25
1226,7,32=8,10000,30
1226,8,32=10,12000,35
1226,9,32=12,14000,40
1226,10,32=14,16000,45
1226,11,33=17,32000,50
1226,12,33=20,36000,55
1226,13,33=23,40000,60
1226,14,33=26,44000,65
1226,15,33=30,48000,70
1226,16,34=34,96000,75
1226,17,34=38,104000,80
1226,18,34=42,112000,85
1226,19,34=46,120000,90
1226,20,34=50,128000,95
1227,1,31=1,0,0
1227,2,31=2,500,6
1227,3,31=3,1000,10
1227,4,31=4,2000,15
1227,5,31=5,4000,20
1227,6,32=6,8000,25
1227,7,32=8,10000,30
1227,8,32=10,12000,35
1227,9,32=12,14000,40
1227,10,32=14,16000,45
1227,11,33=17,32000,50
1227,12,33=20,36000,55
1227,13,33=23,40000,60
1227,14,33=26,44000,65
1227,15,33=30,48000,70
1227,16,34=34,96000,75
1227,17,34=38,104000,80
1227,18,34=42,112000,85
1227,19,34=46,120000,90
1227,20,34=50,128000,95
1228,1,31=1,0,0
1228,2,31=2,500,6
1228,3,31=3,1000,10
1228,4,31=4,2000,15
1228,5,31=5,4000,20
1228,6,32=6,8000,25
1228,7,32=8,10000,30
1228,8,32=10,12000,35
1228,9,32=12,14000,40
1228,10,32=14,16000,45
1228,11,33=17,32000,50
1228,12,33=20,36000,55
1228,13,33=23,40000,60
1228,14,33=26,44000,65
1228,15,33=30,48000,70
1228,16,34=34,96000,75
1228,17,34=38,104000,80
1228,18,34=42,112000,85
1228,19,34=46,120000,90
1228,20,34=50,128000,95
1229,1,31=1,0,0
1229,2,31=2,500,6
1229,3,31=3,1000,10
1229,4,31=4,2000,15
1229,5,31=5,4000,20
1229,6,32=6,8000,25
1229,7,32=8,10000,30
1229,8,32=10,12000,35
1229,9,32=12,14000,40
1229,10,32=14,16000,45
1229,11,33=17,32000,50
1229,12,33=20,36000,55
1229,13,33=23,40000,60
1229,14,33=26,44000,65
1229,15,33=30,48000,70
1229,16,34=34,96000,75
1229,17,34=38,104000,80
1229,18,34=42,112000,85
1229,19,34=46,120000,90
1229,20,34=50,128000,95
1230,1,31=1,0,0
1230,2,31=2,500,6
1230,3,31=3,1000,10
1230,4,31=4,2000,15
1230,5,31=5,4000,20
1230,6,32=6,8000,25
1230,7,32=8,10000,30
1230,8,32=10,12000,35
1230,9,32=12,14000,40
1230,10,32=14,16000,45
1230,11,33=17,32000,50
1230,12,33=20,36000,55
1230,13,33=23,40000,60
1230,14,33=26,44000,65
1230,15,33=30,48000,70
1230,16,34=34,96000,75
1230,17,34=38,104000,80
1230,18,34=42,112000,85
1230,19,34=46,120000,90
1230,20,34=50,128000,95
1231,1,31=1,0,0
1231,2,31=2,500,6
1231,3,31=3,1000,10
1231,4,31=4,2000,15
1231,5,31=5,4000,20
1231,6,32=6,8000,25
1231,7,32=8,10000,30
1231,8,32=10,12000,35
1231,9,32=12,14000,40
1231,10,32=14,16000,45
1231,11,33=17,32000,50
1231,12,33=20,36000,55
1231,13,33=23,40000,60
1231,14,33=26,44000,65
1231,15,33=30,48000,70
1231,16,34=34,96000,75
1231,17,34=38,104000,80
1231,18,34=42,112000,85
1231,19,34=46,120000,90
1231,20,34=50,128000,95
1232,1,31=1,0,0
1232,2,31=2,500,6
1232,3,31=3,1000,10
1232,4,31=4,2000,15
1232,5,31=5,4000,20
1232,6,32=6,8000,25
1232,7,32=8,10000,30
1232,8,32=10,12000,35
1232,9,32=12,14000,40
1232,10,32=14,16000,45
1232,11,33=17,32000,50
1232,12,33=20,36000,55
1232,13,33=23,40000,60
1232,14,33=26,44000,65
1232,15,33=30,48000,70
1232,16,34=34,96000,75
1232,17,34=38,104000,80
1232,18,34=42,112000,85
1232,19,34=46,120000,90
1232,20,34=50,128000,95
1233,1,31=1,0,0
1233,2,31=2,500,6
1233,3,31=3,1000,10
1233,4,31=4,2000,15
1233,5,31=5,4000,20
1233,6,32=6,8000,25
1233,7,32=8,10000,30
1233,8,32=10,12000,35
1233,9,32=12,14000,40
1233,10,32=14,16000,45
1233,11,33=17,32000,50
1233,12,33=20,36000,55
1233,13,33=23,40000,60
1233,14,33=26,44000,65
1233,15,33=30,48000,70
1233,16,34=34,96000,75
1233,17,34=38,104000,80
1233,18,34=42,112000,85
1233,19,34=46,120000,90
1233,20,34=50,128000,95
1234,1,31=1,0,0
1234,2,31=2,500,6
1234,3,31=3,1000,10
1234,4,31=4,2000,15
1234,5,31=5,4000,20
1234,6,32=6,8000,25
1234,7,32=8,10000,30
1234,8,32=10,12000,35
1234,9,32=12,14000,40
1234,10,32=14,16000,45
1234,11,33=17,32000,50
1234,12,33=20,36000,55
1234,13,33=23,40000,60
1234,14,33=26,44000,65
1234,15,33=30,48000,70
1234,16,34=34,96000,75
1234,17,34=38,104000,80
1234,18,34=42,112000,85
1234,19,34=46,120000,90
1234,20,34=50,128000,95
1235,1,31=1,0,0
1235,2,31=2,500,6
1235,3,31=3,1000,10
1235,4,31=4,2000,15
1235,5,31=5,4000,20
1235,6,32=6,8000,25
1235,7,32=8,10000,30
1235,8,32=10,12000,35
1235,9,32=12,14000,40
1235,10,32=14,16000,45
1235,11,33=17,32000,50
1235,12,33=20,36000,55
1235,13,33=23,40000,60
1235,14,33=26,44000,65
1235,15,33=30,48000,70
1235,16,34=34,96000,75
1235,17,34=38,104000,80
1235,18,34=42,112000,85
1235,19,34=46,120000,90
1235,20,34=50,128000,95
1236,1,31=1,0,0
1236,2,31=2,500,6
1236,3,31=3,1000,10
1236,4,31=4,2000,15
1236,5,31=5,4000,20
1236,6,32=6,8000,25
1236,7,32=8,10000,30
1236,8,32=10,12000,35
1236,9,32=12,14000,40
1236,10,32=14,16000,45
1236,11,33=17,32000,50
1236,12,33=20,36000,55
1236,13,33=23,40000,60
1236,14,33=26,44000,65
1236,15,33=30,48000,70
1236,16,34=34,96000,75
1236,17,34=38,104000,80
1236,18,34=42,112000,85
1236,19,34=46,120000,90
1236,20,34=50,128000,95
1237,1,31=1,0,0
1237,2,31=2,500,6
1237,3,31=3,1000,10
1237,4,31=4,2000,15
1237,5,31=5,4000,20
1237,6,32=6,8000,25
1237,7,32=8,10000,30
1237,8,32=10,12000,35
1237,9,32=12,14000,40
1237,10,32=14,16000,45
1237,11,33=17,32000,50
1237,12,33=20,36000,55
1237,13,33=23,40000,60
1237,14,33=26,44000,65
1237,15,33=30,48000,70
1237,16,34=34,96000,75
1237,17,34=38,104000,80
1237,18,34=42,112000,85
1237,19,34=46,120000,90
1237,20,34=50,128000,95
1238,1,31=1,0,0
1238,2,31=2,500,6
1238,3,31=3,1000,10
1238,4,31=4,2000,15
1238,5,31=5,4000,20
1238,6,32=6,8000,25
1238,7,32=8,10000,30
1238,8,32=10,12000,35
1238,9,32=12,14000,40
1238,10,32=14,16000,45
1238,11,33=17,32000,50
1238,12,33=20,36000,55
1238,13,33=23,40000,60
1238,14,33=26,44000,65
1238,15,33=30,48000,70
1238,16,34=34,96000,75
1238,17,34=38,104000,80
1238,18,34=42,112000,85
1238,19,34=46,120000,90
1238,20,34=50,128000,95
1239,1,31=1,0,0
1239,2,31=2,500,6
1239,3,31=3,1000,10
1239,4,31=4,2000,15
1239,5,31=5,4000,20
1239,6,32=6,8000,25
1239,7,32=8,10000,30
1239,8,32=10,12000,35
1239,9,32=12,14000,40
1239,10,32=14,16000,45
1239,11,33=17,32000,50
1239,12,33=20,36000,55
1239,13,33=23,40000,60
1239,14,33=26,44000,65
1239,15,33=30,48000,70
1239,16,34=34,96000,75
1239,17,34=38,104000,80
1239,18,34=42,112000,85
1239,19,34=46,120000,90
1239,20,34=50,128000,95
1240,1,31=1,0,0
1240,2,31=2,500,6
1240,3,31=3,1000,10
1240,4,31=4,2000,15
1240,5,31=5,4000,20
1240,6,32=6,8000,25
1240,7,32=8,10000,30
1240,8,32=10,12000,35
1240,9,32=12,14000,40
1240,10,32=14,16000,45
1240,11,33=17,32000,50
1240,12,33=20,36000,55
1240,13,33=23,40000,60
1240,14,33=26,44000,65
1240,15,33=30,48000,70
1240,16,34=34,96000,75
1240,17,34=38,104000,80
1240,18,34=42,112000,85
1240,19,34=46,120000,90
1240,20,34=50,128000,95
1241,1,31=1,0,0
1241,2,31=2,500,6
1241,3,31=3,1000,10
1241,4,31=4,2000,15
1241,5,31=5,4000,20
1241,6,32=6,8000,25
1241,7,32=8,10000,30
1241,8,32=10,12000,35
1241,9,32=12,14000,40
1241,10,32=14,16000,45
1241,11,33=17,32000,50
1241,12,33=20,36000,55
1241,13,33=23,40000,60
1241,14,33=26,44000,65
1241,15,33=30,48000,70
1241,16,34=34,96000,75
1241,17,34=38,104000,80
1241,18,34=42,112000,85
1241,19,34=46,120000,90
1241,20,34=50,128000,95
1242,1,31=1,0,0
1242,2,31=2,500,6
1242,3,31=3,1000,10
1242,4,31=4,2000,15
1242,5,31=5,4000,20
1242,6,32=6,8000,25
1242,7,32=8,10000,30
1242,8,32=10,12000,35
1242,9,32=12,14000,40
1242,10,32=14,16000,45
1242,11,33=17,32000,50
1242,12,33=20,36000,55
1242,13,33=23,40000,60
1242,14,33=26,44000,65
1242,15,33=30,48000,70
1242,16,34=34,96000,75
1242,17,34=38,104000,80
1242,18,34=42,112000,85
1242,19,34=46,120000,90
1242,20,34=50,128000,95
1243,1,31=1,0,0
1243,2,31=2,500,6
1243,3,31=3,1000,10
1243,4,31=4,2000,15
1243,5,31=5,4000,20
1243,6,32=6,8000,25
1243,7,32=8,10000,30
1243,8,32=10,12000,35
1243,9,32=12,14000,40
1243,10,32=14,16000,45
1243,11,33=17,32000,50
1243,12,33=20,36000,55
1243,13,33=23,40000,60
1243,14,33=26,44000,65
1243,15,33=30,48000,70
1243,16,34=34,96000,75
1243,17,34=38,104000,80
1243,18,34=42,112000,85
1243,19,34=46,120000,90
1243,20,34=50,128000,95
1244,1,31=1,0,0
1244,2,31=2,500,6
1244,3,31=3,1000,10
1244,4,31=4,2000,15
1244,5,31=5,4000,20
1244,6,32=6,8000,25
1244,7,32=8,10000,30
1244,8,32=10,12000,35
1244,9,32=12,14000,40
1244,10,32=14,16000,45
1244,11,33=17,32000,50
1244,12,33=20,36000,55
1244,13,33=23,40000,60
1244,14,33=26,44000,65
1244,15,33=30,48000,70
1244,16,34=34,96000,75
1244,17,34=38,104000,80
1244,18,34=42,112000,85
1244,19,34=46,120000,90
1244,20,34=50,128000,95
1245,1,31=1,0,0
1245,2,31=2,500,6
1245,3,31=3,1000,10
1245,4,31=4,2000,15
1245,5,31=5,4000,20
1245,6,32=6,8000,25
1245,7,32=8,10000,30
1245,8,32=10,12000,35
1245,9,32=12,14000,40
1245,10,32=14,16000,45
1245,11,33=17,32000,50
1245,12,33=20,36000,55
1245,13,33=23,40000,60
1245,14,33=26,44000,65
1245,15,33=30,48000,70
1245,16,34=34,96000,75
1245,17,34=38,104000,80
1245,18,34=42,112000,85
1245,19,34=46,120000,90
1245,20,34=50,128000,95
1246,1,31=1,0,0
1246,2,31=2,500,6
1246,3,31=3,1000,10
1246,4,31=4,2000,15
1246,5,31=5,4000,20
1246,6,32=6,8000,25
1246,7,32=8,10000,30
1246,8,32=10,12000,35
1246,9,32=12,14000,40
1246,10,32=14,16000,45
1246,11,33=17,32000,50
1246,12,33=20,36000,55
1246,13,33=23,40000,60
1246,14,33=26,44000,65
1246,15,33=30,48000,70
1246,16,34=34,96000,75
1246,17,34=38,104000,80
1246,18,34=42,112000,85
1246,19,34=46,120000,90
1246,20,34=50,128000,95
1247,1,31=1,0,0
1247,2,31=2,500,6
1247,3,31=3,1000,10
1247,4,31=4,2000,15
1247,5,31=5,4000,20
1247,6,32=6,8000,25
1247,7,32=8,10000,30
1247,8,32=10,12000,35
1247,9,32=12,14000,40
1247,10,32=14,16000,45
1247,11,33=17,32000,50
1247,12,33=20,36000,55
1247,13,33=23,40000,60
1247,14,33=26,44000,65
1247,15,33=30,48000,70
1247,16,34=34,96000,75
1247,17,34=38,104000,80
1247,18,34=42,112000,85
1247,19,34=46,120000,90
1247,20,34=50,128000,95
1248,1,31=1,0,0
1248,2,31=2,500,6
1248,3,31=3,1000,10
1248,4,31=4,2000,15
1248,5,31=5,4000,20
1248,6,32=6,8000,25
1248,7,32=8,10000,30
1248,8,32=10,12000,35
1248,9,32=12,14000,40
1248,10,32=14,16000,45
1248,11,33=17,32000,50
1248,12,33=20,36000,55
1248,13,33=23,40000,60
1248,14,33=26,44000,65
1248,15,33=30,48000,70
1248,16,34=34,96000,75
1248,17,34=38,104000,80
1248,18,34=42,112000,85
1248,19,34=46,120000,90
1248,20,34=50,128000,95
1249,1,31=1,0,0
1249,2,31=2,500,6
1249,3,31=3,1000,10
1249,4,31=4,2000,15
1249,5,31=5,4000,20
1249,6,32=6,8000,25
1249,7,32=8,10000,30
1249,8,32=10,12000,35
1249,9,32=12,14000,40
1249,10,32=14,16000,45
1249,11,33=17,32000,50
1249,12,33=20,36000,55
1249,13,33=23,40000,60
1249,14,33=26,44000,65
1249,15,33=30,48000,70
1249,16,34=34,96000,75
1249,17,34=38,104000,80
1249,18,34=42,112000,85
1249,19,34=46,120000,90
1249,20,34=50,128000,95
1250,1,31=1,0,0
1250,2,31=2,500,6
1250,3,31=3,1000,10
1250,4,31=4,2000,15
1250,5,31=5,4000,20
1250,6,32=6,8000,25
1250,7,32=8,10000,30
1250,8,32=10,12000,35
1250,9,32=12,14000,40
1250,10,32=14,16000,45
1250,11,33=17,32000,50
1250,12,33=20,36000,55
1250,13,33=23,40000,60
1250,14,33=26,44000,65
1250,15,33=30,48000,70
1250,16,34=34,96000,75
1250,17,34=38,104000,80
1250,18,34=42,112000,85
1250,19,34=46,120000,90
1250,20,34=50,128000,95
1251,1,31=1,0,0
1251,2,31=2,500,6
1251,3,31=3,1000,10
1251,4,31=4,2000,15
1251,5,31=5,4000,20
1251,6,32=6,8000,25
1251,7,32=8,10000,30
1251,8,32=10,12000,35
1251,9,32=12,14000,40
1251,10,32=14,16000,45
1251,11,33=17,32000,50
1251,12,33=20,36000,55
1251,13,33=23,40000,60
1251,14,33=26,44000,65
1251,15,33=30,48000,70
1251,16,34=34,96000,75
1251,17,34=38,104000,80
1251,18,34=42,112000,85
1251,19,34=46,120000,90
1251,20,34=50,128000,95
1252,1,31=1,0,0
1252,2,31=2,500,6
1252,3,31=3,1000,10
1252,4,31=4,2000,15
1252,5,31=5,4000,20
1252,6,32=6,8000,25
1252,7,32=8,10000,30
1252,8,32=10,12000,35
1252,9,32=12,14000,40
1252,10,32=14,16000,45
1252,11,33=17,32000,50
1252,12,33=20,36000,55
1252,13,33=23,40000,60
1252,14,33=26,44000,65
1252,15,33=30,48000,70
1252,16,34=34,96000,75
1252,17,34=38,104000,80
1252,18,34=42,112000,85
1252,19,34=46,120000,90
1252,20,34=50,128000,95
1253,1,31=1,0,0
1253,2,31=2,500,6
1253,3,31=3,1000,10
1253,4,31=4,2000,15
1253,5,31=5,4000,20
1253,6,32=6,8000,25
1253,7,32=8,10000,30
1253,8,32=10,12000,35
1253,9,32=12,14000,40
1253,10,32=14,16000,45
1253,11,33=17,32000,50
1253,12,33=20,36000,55
1253,13,33=23,40000,60
1253,14,33=26,44000,65
1253,15,33=30,48000,70
1253,16,34=34,96000,75
1253,17,34=38,104000,80
1253,18,34=42,112000,85
1253,19,34=46,120000,90
1253,20,34=50,128000,95
1254,1,31=1,0,0
1254,2,31=2,500,6
1254,3,31=3,1000,10
1254,4,31=4,2000,15
1254,5,31=5,4000,20
1254,6,32=6,8000,25
1254,7,32=8,10000,30
1254,8,32=10,12000,35
1254,9,32=12,14000,40
1254,10,32=14,16000,45
1254,11,33=17,32000,50
1254,12,33=20,36000,55
1254,13,33=23,40000,60
1254,14,33=26,44000,65
1254,15,33=30,48000,70
1254,16,34=34,96000,75
1254,17,34=38,104000,80
1254,18,34=42,112000,85
1254,19,34=46,120000,90
1254,20,34=50,128000,95
1255,1,31=1,0,0
1255,2,31=2,500,6
1255,3,31=3,1000,10
1255,4,31=4,2000,15
1255,5,31=5,4000,20
1255,6,32=6,8000,25
1255,7,32=8,10000,30
1255,8,32=10,12000,35
1255,9,32=12,14000,40
1255,10,32=14,16000,45
1255,11,33=17,32000,50
1255,12,33=20,36000,55
1255,13,33=23,40000,60
1255,14,33=26,44000,65
1255,15,33=30,48000,70
1255,16,34=34,96000,75
1255,17,34=38,104000,80
1255,18,34=42,112000,85
1255,19,34=46,120000,90
1255,20,34=50,128000,95
1256,1,31=1,0,0
1256,2,31=2,500,6
1256,3,31=3,1000,10
1256,4,31=4,2000,15
1256,5,31=5,4000,20
1256,6,32=6,8000,25
1256,7,32=8,10000,30
1256,8,32=10,12000,35
1256,9,32=12,14000,40
1256,10,32=14,16000,45
1256,11,33=17,32000,50
1256,12,33=20,36000,55
1256,13,33=23,40000,60
1256,14,33=26,44000,65
1256,15,33=30,48000,70
1256,16,34=34,96000,75
1256,17,34=38,104000,80
1256,18,34=42,112000,85
1256,19,34=46,120000,90
1256,20,34=50,128000,95
1257,1,31=1,0,0
1257,2,31=2,500,6
1257,3,31=3,1000,10
1257,4,31=4,2000,15
1257,5,31=5,4000,20
1257,6,32=6,8000,25
1257,7,32=8,10000,30
1257,8,32=10,12000,35
1257,9,32=12,14000,40
1257,10,32=14,16000,45
1257,11,33=17,32000,50
1257,12,33=20,36000,55
1257,13,33=23,40000,60
1257,14,33=26,44000,65
1257,15,33=30,48000,70
1257,16,34=34,96000,75
1257,17,34=38,104000,80
1257,18,34=42,112000,85
1257,19,34=46,120000,90
1257,20,34=50,128000,95
1258,1,31=1,0,0
1258,2,31=2,500,6
1258,3,31=3,1000,10
1258,4,31=4,2000,15
1258,5,31=5,4000,20
1258,6,32=6,8000,25
1258,7,32=8,10000,30
1258,8,32=10,12000,35
1258,9,32=12,14000,40
1258,10,32=14,16000,45
1258,11,33=17,32000,50
1258,12,33=20,36000,55
1258,13,33=23,40000,60
1258,14,33=26,44000,65
1258,15,33=30,48000,70
1258,16,34=34,96000,75
1258,17,34=38,104000,80
1258,18,34=42,112000,85
1258,19,34=46,120000,90
1258,20,34=50,128000,95
1259,1,31=1,0,0
1259,2,31=2,500,6
1259,3,31=3,1000,10
1259,4,31=4,2000,15
1259,5,31=5,4000,20
1259,6,32=6,8000,25
1259,7,32=8,10000,30
1259,8,32=10,12000,35
1259,9,32=12,14000,40
1259,10,32=14,16000,45
1259,11,33=17,32000,50
1259,12,33=20,36000,55
1259,13,33=23,40000,60
1259,14,33=26,44000,65
1259,15,33=30,48000,70
1259,16,34=34,96000,75
1259,17,34=38,104000,80
1259,18,34=42,112000,85
1259,19,34=46,120000,90
1259,20,34=50,128000,95
1260,1,31=1,0,0
1260,2,31=2,500,6
1260,3,31=3,1000,10
1260,4,31=4,2000,15
1260,5,31=5,4000,20
1260,6,32=6,8000,25
1260,7,32=8,10000,30
1260,8,32=10,12000,35
1260,9,32=12,14000,40
1260,10,32=14,16000,45
1260,11,33=17,32000,50
1260,12,33=20,36000,55
1260,13,33=23,40000,60
1260,14,33=26,44000,65
1260,15,33=30,48000,70
1260,16,34=34,96000,75
1260,17,34=38,104000,80
1260,18,34=42,112000,85
1260,19,34=46,120000,90
1260,20,34=50,128000,95
1261,1,31=1,0,0
1261,2,31=2,500,6
1261,3,31=3,1000,10
1261,4,31=4,2000,15
1261,5,31=5,4000,20
1261,6,32=6,8000,25
1261,7,32=8,10000,30
1261,8,32=10,12000,35
1261,9,32=12,14000,40
1261,10,32=14,16000,45
1261,11,33=17,32000,50
1261,12,33=20,36000,55
1261,13,33=23,40000,60
1261,14,33=26,44000,65
1261,15,33=30,48000,70
1261,16,34=34,96000,75
1261,17,34=38,104000,80
1261,18,34=42,112000,85
1261,19,34=46,120000,90
1261,20,34=50,128000,95
1262,1,31=1,0,0
1262,2,31=2,500,6
1262,3,31=3,1000,10
1262,4,31=4,2000,15
1262,5,31=5,4000,20
1262,6,32=6,8000,25
1262,7,32=8,10000,30
1262,8,32=10,12000,35
1262,9,32=12,14000,40
1262,10,32=14,16000,45
1262,11,33=17,32000,50
1262,12,33=20,36000,55
1262,13,33=23,40000,60
1262,14,33=26,44000,65
1262,15,33=30,48000,70
1262,16,34=34,96000,75
1262,17,34=38,104000,80
1262,18,34=42,112000,85
1262,19,34=46,120000,90
1262,20,34=50,128000,95
1263,1,31=1,0,0
1263,2,31=2,500,6
1263,3,31=3,1000,10
1263,4,31=4,2000,15
1263,5,31=5,4000,20
1263,6,32=6,8000,25
1263,7,32=8,10000,30
1263,8,32=10,12000,35
1263,9,32=12,14000,40
1263,10,32=14,16000,45
1263,11,33=17,32000,50
1263,12,33=20,36000,55
1263,13,33=23,40000,60
1263,14,33=26,44000,65
1263,15,33=30,48000,70
1263,16,34=34,96000,75
1263,17,34=38,104000,80
1263,18,34=42,112000,85
1263,19,34=46,120000,90
1263,20,34=50,128000,95
1264,1,31=1,0,0
1264,2,31=2,500,6
1264,3,31=3,1000,10
1264,4,31=4,2000,15
1264,5,31=5,4000,20
1264,6,32=6,8000,25
1264,7,32=8,10000,30
1264,8,32=10,12000,35
1264,9,32=12,14000,40
1264,10,32=14,16000,45
1264,11,33=17,32000,50
1264,12,33=20,36000,55
1264,13,33=23,40000,60
1264,14,33=26,44000,65
1264,15,33=30,48000,70
1264,16,34=34,96000,75
1264,17,34=38,104000,80
1264,18,34=42,112000,85
1264,19,34=46,120000,90
1264,20,34=50,128000,95
1265,1,31=1,0,0
1265,2,31=2,500,6
1265,3,31=3,1000,10
1265,4,31=4,2000,15
1265,5,31=5,4000,20
1265,6,32=6,8000,25
1265,7,32=8,10000,30
1265,8,32=10,12000,35
1265,9,32=12,14000,40
1265,10,32=14,16000,45
1265,11,33=17,32000,50
1265,12,33=20,36000,55
1265,13,33=23,40000,60
1265,14,33=26,44000,65
1265,15,33=30,48000,70
1265,16,34=34,96000,75
1265,17,34=38,104000,80
1265,18,34=42,112000,85
1265,19,34=46,120000,90
1265,20,34=50,128000,95
1266,1,31=1,0,0
1266,2,31=2,500,6
1266,3,31=3,1000,10
1266,4,31=4,2000,15
1266,5,31=5,4000,20
1266,6,32=6,8000,25
1266,7,32=8,10000,30
1266,8,32=10,12000,35
1266,9,32=12,14000,40
1266,10,32=14,16000,45
1266,11,33=17,32000,50
1266,12,33=20,36000,55
1266,13,33=23,40000,60
1266,14,33=26,44000,65
1266,15,33=30,48000,70
1266,16,34=34,96000,75
1266,17,34=38,104000,80
1266,18,34=42,112000,85
1266,19,34=46,120000,90
1266,20,34=50,128000,95
1267,1,31=1,0,0
1267,2,31=2,500,6
1267,3,31=3,1000,10
1267,4,31=4,2000,15
1267,5,31=5,4000,20
1267,6,32=6,8000,25
1267,7,32=8,10000,30
1267,8,32=10,12000,35
1267,9,32=12,14000,40
1267,10,32=14,16000,45
1267,11,33=17,32000,50
1267,12,33=20,36000,55
1267,13,33=23,40000,60
1267,14,33=26,44000,65
1267,15,33=30,48000,70
1267,16,34=34,96000,75
1267,17,34=38,104000,80
1267,18,34=42,112000,85
1267,19,34=46,120000,90
1267,20,34=50,128000,95
1268,1,31=1,0,0
