技能ID,技能名称,技能描述,辅助描述,技能星级,可升等级,消耗,攻击次数,作用范围类型,作用对象,作用中心横坐标,作用对象职业,作用对象阵营,作用对象属性,效果阵营覆盖,阵营覆盖成长,效果职业覆盖,职业覆盖成长,二级属性临时变更,临时变更成长,攻击系数,攻击系数成长,攻击常数,攻击常数成长,中毒系数,中毒系数成长,中毒常数,中毒常数成长,持续时间,伤害次数,无视防御,催眠,催眠成长,吸血百分比,吸血成长,攻击偷取,攻击偷取成长,增加怒气消耗,增加怒气消耗成长,怒气值增加,怒气值增加成长,伤害类型,伤害效果成长,驱散debuff,技能子弹,BUFF ID,技能展示图片,技能音效,技能icon,技能卡牌资源
177,绝策之谋,对敌方所有将领造成%.1f%%的伤害，且对军师将领造成50%%的额外伤害。,1=90=2.25 ,,20,4,1,4,1,,,,,,,5=1.35,0.03375,0,,0.9,0.0225,,,0,0,,,0,0,,0,,,,,,,,,,,,,51,,resource/skill_info_pic/177.png,,resource/icon/skill/skill_icon.png,
178,岁在甲子,对前排敌人造成%.1f%%的伤害。,1=212=5.3 ,,20,3,1,3,1,1,,,,,,,,0,,2.12,0.053,,,0,0,,,0,0,,0,,,,,,,,,,,,,108,,resource/skill_info_pic/178.png,,resource/icon/skill/skill_icon.png,
179,江东步战,对前排敌人造成%.1f%%的伤害。,1=208=5.2 ,,20,3,1,3,1,1,,,,,,,,0,,2.08,0.052,,,0,0,,,0,0,,0,,,,,,,,,,,,,115,,resource/skill_info_pic/179.png,,resource/icon/skill/skill_icon.png,
180,苍岚弓,对前方一列敌人造成%.1f%%的伤害。,1=188=4.7 ,,20,3,1,2,1,,,,,,,,,0,,1.88,0.047,,,0,0,,,0,0,,0,,,,,,,,,,,,,61,,resource/skill_info_pic/180.png,,resource/icon/skill/skill_icon.png,
181,强断弓,对前方一列敌人造成%.1f%%的伤害。,1=193=4.825 ,,20,3,1,2,1,,,,,,,,,0,,1.93,0.04825,,,0,0,,,0,0,,0,,,,,,,,,,,,,61,,resource/skill_info_pic/181.png,,resource/icon/skill/skill_icon.png,
182,霸道斩,对前排敌人造成%.1f%%的伤害。,1=218=5.45 ,,20,3,1,3,1,1,,,,,,,,0,,2.18,0.0545,,,0,0,,,0,0,,0,,,,,,,,,,,,,115,,resource/skill_info_pic/182.png,,resource/icon/skill/skill_icon.png,
183,祸吴反叛,对前方一列敌人造成%.1f%%的伤害。,1=191=4.775 ,,20,3,1,2,1,,,,,,,,,0,,1.91,0.04775,,,0,0,,,0,0,,0,,,,,,,,,,,,,266,,resource/skill_info_pic/183.png,,resource/icon/skill/skill_icon.png,
184,飞龙弓,对前方一列敌人造成%.1f%%的伤害。,1=192=4.8 ,,20,3,1,2,1,,,,,,,,,0,,1.92,0.048,,,0,0,,,0,0,,0,,,,,,,,,,,,,266,,resource/skill_info_pic/184.png,,resource/icon/skill/skill_icon.png,
185,风龙弓,对前方一列敌人造成每回合%.1f%%攻击的伤害（无视防御），持续4回合。,1=37=0.925 ,,20,3,0,2,1,,,,,,,,,0,,0,0,,,0.37,0.00925,,,4000,4,,0,,,,,,,,,,,,,278,87,resource/skill_info_pic/185.png,,resource/icon/skill/skill_icon.png,
186,裂地,对前排敌人造成%.1f%%的伤害。,1=205=5.125 ,,20,3,1,3,1,1,,,,,,,,0,,2.05,0.05125,,,0,0,,,0,0,,0,,,,,,,,,,,,,115,,resource/skill_info_pic/186.png,,resource/icon/skill/skill_icon.png,
187,雷鸣,对前排敌人造成每回合%.1f%%攻击的伤害（无视防御），持续4回合。,1=48=1.2,,20,3,0,3,1,1,,,,,,,,0,,0,0,,,0.48,0.012,,,4000,4,,0,,,,,,,,,,,,,56,88,resource/skill_info_pic/187.png,,resource/icon/skill/skill_icon.png,
188,轰雷箭,对敌方攻击力最高将领造成%.1f%%的伤害，并对其攻击弱化5%%，持续3秒。,1=247=6.175 ,,20,2,1,4,1,,,,1,,,,,0,,2.47,0.06175,,,0,0,,,0,0,,0,,,,,,,,,,,,,51,124,resource/skill_info_pic/188.png,,resource/icon/skill/skill_icon.png,
189,神驹箭,对最后方敌方单体目标造成%.1f%%的伤害。,1=231=5.775 ,,20,2,1,4,1,4,,,,,,,,0,,2.31,0.05775,,,0,0,,,0,0,,0,,,,,,,,,,,,,51,,resource/skill_info_pic/189.png,,resource/icon/skill/skill_icon.png,
190,高陵之变,对敌方当前生命最低目标造成%.1f%%的伤害。,1=223=5.575 ,,20,2,1,4,1,,,,2,,,,,0,,2.23,0.05575,,,0,0,,,0,0,,0,,,,,,,,,,,,,51,,resource/skill_info_pic/190.png,,resource/icon/skill/skill_icon.png,
191,濡须兵锋,对最后方敌方单体目标造成%.1f%%的伤害。,1=230=5.75 ,,20,2,1,4,1,4,,,,,,,,0,,2.3,0.0575,,,0,0,,,0,0,,0,,,,,,,,,,,,,56,,resource/skill_info_pic/191.png,,resource/icon/skill/skill_icon.png,
192,烈风破,对敌方攻击最高将领造成%.1f%%的伤害。,1=220=5.5 ,,20,2,1,4,1,,,,1,,,,,0,,2.2,0.055,,,0,0,,,0,0,,0,,,,,,,,,,,,,56,,resource/skill_info_pic/192.png,,resource/icon/skill/skill_icon.png,
193,断空破,对敌方攻击最高将领造成%.1f%%的伤害。,1=220=5.5 ,,20,2,1,4,1,,,,1,,,,,0,,2.2,0.055,,,0,0,,,0,0,,0,,,,,,,,,,,,,56,,resource/skill_info_pic/193.png,,resource/icon/skill/skill_icon.png,
194,奋迅,己方攻击最高将领攻击提升%.1f%%，持续6秒。,1=28=0.7 ,,20,2,0,4,3,,,,1,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,44,resource/skill_info_pic/194.png,,resource/icon/skill/skill_icon.png,
195,奔腾,己方攻击最高将领暴击提升%d，持续6秒。,1=340=8.5 ,,20,2,0,4,3,,,,1,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,188,resource/skill_info_pic/195.png,,resource/icon/skill/skill_icon.png,
196,阳炎,己方攻击最高将领爆伤提升%.1f%%，持续5秒。,1=45=1.125 ,,20,2,0,4,3,,,,1,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,195,resource/skill_info_pic/196.png,,resource/icon/skill/skill_icon.png,
197,觉醒,己方攻击最高将领立即回复%.1f%%攻击的生命，并提升攻击4%%，持续3秒。,1=150=3.75 ,,20,2,0,4,3,,,,1,,,,,0,,-1.5,-0.0375,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,,resource/skill_info_pic/197.png,,resource/icon/skill/skill_icon.png,
198,斗志,己方攻击最高将领攻击提升%.1f%%，持续6秒。,1=28=0.7 ,,20,2,0,4,3,,,,1,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,45,resource/skill_info_pic/198.png,,resource/icon/skill/skill_icon.png,
199,会心,自身命中提升%d，持续6秒。,1=280=7 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,165,resource/skill_info_pic/199.png,,resource/icon/skill/skill_icon.png,
200,坚守,对前方一列敌人造成%.1f%%的伤害。,1=222=5.55 ,,20,3,1,2,1,,,,,,,,,0,,2.22,0.0555,,,0,0,,,0,0,,0,,,,,,,,,,,,,33,,resource/skill_info_pic/200.png,,resource/icon/skill/skill_icon.png,
201,高扬,自身破击提升%d，持续8秒。,1=290=7.25 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,183,resource/skill_info_pic/201.png,,resource/icon/skill/skill_icon.png,
202,护体真元,自身每回合回复%.1f%%攻击的生命，持续4回合，且提升18%%的防御，持续3秒。,1=50=1.25 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,-0.5,-0.0125,,,2000,4,,0,,,,,,,,,,,,,302,12,resource/skill_info_pic/202.png,,resource/icon/skill/skill_icon.png,
203,蛮术,自身暴击提升%d，持续8秒。,1=340=8.5 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,189,resource/skill_info_pic/203.png,,resource/icon/skill/skill_icon.png,
204,护盾,自身防御力提升%.1f%%，持续8秒。,1=42=1.05 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,71,resource/skill_info_pic/204.png,,resource/icon/skill/skill_icon.png,
205,燕行,自身闪避提升%d，持续8秒。,1=260=6.5 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,172,resource/skill_info_pic/205.png,,resource/icon/skill/skill_icon.png,
206,续命,自身每回合回复%.1f%%攻击的生命，持续4回合。,1=48=1.2 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,-0.48,-0.012,,,2000,4,,0,,,,,,,,,,,,,302,13,resource/skill_info_pic/206.png,,resource/icon/skill/skill_icon.png,
207,虎啸,自身攻击提升%.1f%%，持续8秒。,1=35=0.875 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,46,resource/skill_info_pic/207.png,,resource/icon/skill/skill_icon.png,
208,截江击,对前排敌人造成%.1f%%的伤害。,1=215=5.375 ,,20,3,1,3,1,1,,,,,,,,0,,2.15,0.05375,,,0,0,,,0,0,,0,,,,,,,,,,,,,115,,resource/skill_info_pic/208.png,,resource/icon/skill/skill_icon.png,
209,神攻,对前方一列敌人造成合%.1f%%的伤害。,1=190=4.75 ,,20,3,1,2,1,,,,,,,,,0,,1.9,0.0475,,,0,0,,,0,0,,0,,,,,,,,,,,,,32,,resource/skill_info_pic/209.png,,resource/icon/skill/skill_icon.png,
210,坚壁之计,自身防御提升%.1f%%，持续8秒。,1=52=1.3 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,72,resource/skill_info_pic/210.png,,resource/icon/skill/skill_icon.png,
211,自伤强攻,自身攻击提升%.1f%%，持续8秒，并自身每回合损失12%%攻击的伤害（无视防御），持续4回合。,1=35=0.875 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0.12,0.003,,,4000,4,,0,,,,,,,,,,,,,302,47 89,resource/skill_info_pic/211.png,,resource/icon/skill/skill_icon.png,
212,沧海听潮,自身每回合回复%.1f%%攻击的生命，持续4回合。,1=55=1.375 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,-0.55,-0.01375,,,2000,4,,0,,,,,,,,,,,,,302,14,resource/skill_info_pic/212.png,,resource/icon/skill/skill_icon.png,
213,陷阵营,召唤陷阵营士兵对前排敌方目标进行冲锋攻击，造成%.1f%%的伤害，且附带暴击200。,1=238=5.95,,20,3,1,3,1,1,,,,,,,,3=200,,2.38,0.0595,,,0,0,,,0,0,,0,,,,,,,,,,,,,542,,resource/skill_info_pic/213.png,,resource/icon/skill/3.png,
214,强元,自身攻击提升%.1f%%，持续8秒。,1=35=0.875 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,49,resource/skill_info_pic/214.png,,resource/icon/skill/skill_icon.png,
215,疾攻真元,自身攻击提升%.1f%%，暴击提升%d，持续8秒。,1=15=0.375 2=150=3.75,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,50 190,resource/skill_info_pic/215.png,,resource/icon/skill/skill_icon.png,
216,真元归心,自身攻击提升%.1f%%，持续8秒。,1=36=0.9 ,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,51,resource/skill_info_pic/216.png,,resource/icon/skill/skill_icon.png,
217,刚而犯上,对敌方后排将领造成%.1f%%的伤害（该技能容易被格挡）。,1=245=6.12,,20,4,1,3,1,4,,,,,,,,2=-333,,2.45,0.06125,,,0,0,,,0,0,,0,,,,,,,,,,,,,550,,resource/skill_info_pic/217.png,,resource/icon/skill/37.png,
218,蜀相谋略,对敌方所有将领攻击弱化%.1f%%，且额外对敌方骑兵将领攻击弱化%.1f%%，持续6秒。,1=15=0.375 2=5=0.125,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,301,126,resource/skill_info_pic/218.png,,resource/icon/skill/skill_icon.png,
219,离火之计,对敌方所有将领攻击弱化%.1f%%，且额外对敌方军师将领攻击弱化%.1f%%，持续6秒。,1=15=0.375 2=5=0.125,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,301,127,resource/skill_info_pic/219.png,,resource/icon/skill/skill_icon.png,
220,魏明袭,对敌方所有将领攻击弱化%.1f%%，且额外对敌方弓兵将领攻击弱化%.1f%%，持续6秒。,1=15=0.375 2=5=0.125,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,121,128,resource/skill_info_pic/220.png,,resource/icon/skill/skill_icon.png,
221,界桥一式,对前排敌方武将造成%.1f%%的伤害，并附带230的暴击。,1=226=5.65,,20,3,1,3,1,1,,,,,,,,3=230,,2.26,0.0565,,,0,0,,,0,0,,0,,,,,,,,,,,,,54,,resource/skill_info_pic/221.png,,resource/icon/skill/skill_icon.png,
222,庭柱千钧,对前排敌方武将造成%.1f%%的伤害。,1=232=5.8 ,,20,3,1,3,1,1,,,,,,,,0,,2.32,0.058,,,0,0,,,0,0,,0,,,,,,,,,,,,,54,,resource/skill_info_pic/222.png,,resource/icon/skill/skill_icon.png,
223,伪帝大将,对前排敌方武将防御弱化%.1f%%，持续6秒.,1=38=0.95 ,,20,3,0,3,1,1,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,150,150,resource/skill_info_pic/223.png,,resource/icon/skill/skill_icon.png,
224,乌巢一醉,对前排敌方武将攻击弱化%.1f%%，防御弱化%.1f%%，持续6秒。,1=20=0.5 2=25=0.625,,20,3,0,3,1,1,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,150,129 151,resource/skill_info_pic/224.png,,resource/icon/skill/skill_icon.png,
225,苍炎弓,对前方一列敌人造成每回合%.1f%%攻击的伤害（无视防御），持续4回合。,1=30=0.75 ,,20,3,0,2,1,,,,,,,,,0,,0,0,,,0.3,0.0075,,,4000,4,,0,,,,,,,,,,,,,266,90,resource/skill_info_pic/225.png,,resource/icon/skill/skill_icon.png,
226,苍牙弓,对前方一列敌人造成每回合%.1f%%的伤害，持续4回合。,1=32=0.8 ,,20,3,0,2,1,,,,,,,,,0,,0,0,,,0.32,0.008,,,4000,4,,0,,,,,,,,,,,,,266,91,resource/skill_info_pic/226.png,,resource/icon/skill/skill_icon.png,
227,摄魂式,对前排敌方武将防御弱化%.1f%%，持续6秒,1=45=1.125 ,,20,3,0,3,1,1,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,301,152,resource/skill_info_pic/227.png,,resource/icon/skill/skill_icon.png,
228,徐州谋,对敌方攻击最高武将攻击弱化%.1f%%，持续6秒。,1=32=0.8 ,,20,2,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,143,130,resource/skill_info_pic/228.png,,resource/icon/skill/skill_icon.png,
229,苍天已死,对前排敌人造成%.1f%%的伤害，且附带350的命中。,1=205=5.125,,20,3,1,3,1,1,,,,,,,,1=350,,2.05,0.05125,,,0,0,,,0,0,,0,,,,,,,,,,,,,57,,resource/skill_info_pic/229.png,,resource/icon/skill/skill_icon.png,
230,将军之怒,自身提升%.1f%%的攻击，且提升200的暴击，持续8秒。,1=12=0.3 2=200=5,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,52 191,resource/skill_info_pic/230.png,,resource/icon/skill/skill_icon.png,
231,凉州雷动,对前排敌人造成%.1f%%的伤害。,1=218=5.45 ,,20,3,1,3,1,1,,,,,,,,0,,2.18,0.0545,,,0,0,,,0,0,,0,,,,,,,,,,,,,56,,resource/skill_info_pic/231.png,,resource/icon/skill/skill_icon.png,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,降低攻击,,,,20,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,501,,,,
812,缓速,使全体敌方将领缓速（技能等级越高成功率越高），持续%.1f秒。,,,20,0,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,301,502,,,resource/icon/skill/skill_icon.png,
813,晕眩,,,,20,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,503,,,,
814,冰冻,,,,20,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,504,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,张飞,对前排敌人造成%.1f%%的伤害，且附带50%的爆伤。,,,,,1,3,1,1,,,,,,,,4=50,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1001,,,,resource/icon/skill/skill_icon.png,
1002,张飞,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1002,,,,resource/icon/skill/skill_icon.png,
1003,张飞,自身提升%.1f%%的爆伤，持续8秒。,,,,,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1003,1195,,,resource/icon/skill/skill_icon.png,
1004,周瑜,对敌方攻击力最高武将造成%.1f%%的伤害。,,,,,1,4,1,,,,1,,,,,0,,1.48,0.0359,,,0,0,,,0,0,,0,,,,,,,,,,,,,1004,,,,resource/icon/skill/skill_icon.png,
1005,周瑜,对敌方攻击力最高武将造成%.1f%%的伤害，并机率使其晕眩，持续3秒。,,,,,1,4,1,,,,1,,,,,0,,1.32,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,1005,209,,,resource/icon/skill/skill_icon.png,
1006,周瑜,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1006,,,,resource/icon/skill/skill_icon.png,
1007,夏侯惇,对前排造成%.1f%%的伤害，并机率使其晕眩，持续3秒。,,,,,1,3,1,1,,,,,,,,0,,0.92,0.0223,,,0,0,,,0,0,,0,,,,,,,,,,,,,1007,210,,,resource/icon/skill/skill_icon.png,
1008,夏侯惇,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1008,,,,resource/icon/skill/skill_icon.png,
1009,夏侯惇,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1009,,,,resource/icon/skill/skill_icon.png,
1010,孙权,对前方一列造成%.1f%%的伤害。,,,,,1,2,1,,,,,,,,,0,,0.98,0.0238,,,0,0,,,0,0,,0,,,,,,,,,,,,,1010,,,,resource/icon/skill/skill_icon.png,
1011,孙权,对最后方敌方目标造成%.1f%%攻击的伤害（无视防御）。,,,,,1,4,1,4,,,,,,,,0,,1.32,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,1011,,,,resource/icon/skill/skill_icon.png,
1012,孙权,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1012,,,,resource/icon/skill/skill_icon.png,
1013,寒冰术,对攻击力最高的人释放冰球造成%.1f%%的冰冻伤害，且机率使其冰冻，持续3秒。,1=120=2,,,,1,4,1,,,,1,,,,,0,,1.2,0.02,,,0,0,,,0,0,,0,,,,,,,,,,,,,1013,1247,,,resource/icon/skill/skill_icon.png,
1014,炎火术,对攻击力最高的扔出火球造成%.1f%%的火焰伤害。,1=148=3.6,,,,1,4,1,,,,1,,,,,0,,1.48,0.0359,,,0,0,,,0,0,,0,,,,,,,,,,,,,1014,,,,resource/icon/skill/skill_icon.png,
1015,攻击强化,提升自身攻击力%.1f%%。,1=8=0.8,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1015,,,,resource/icon/skill/skill_icon.png,
1016,陆逊,对前列敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,2,1,,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1016,,,,resource/icon/skill/skill_icon.png,
1017,陆逊,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1017,,,,resource/icon/skill/skill_icon.png,
1018,陆逊,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1018,,,,resource/icon/skill/skill_icon.png,
1019,诸葛亮,对敌方攻击力最高武将造成每回合%.1f%%攻击的伤害（无视防御）。,,,,,2,4,1,,,,1,,,,,0,,0.76,0.0184,,,0,0,,,0,0,,0,,,,,,,,,,,,,1019,,,,resource/icon/skill/skill_icon.png,
1020,诸葛亮,借取一个敌方随机武将%.1f%%的攻击增强自身，效果上限为300%%。,,,,,0,4,1,,,,4,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,10,1,,,,,,,,1020,,,,resource/icon/skill/skill_icon.png,
1021,诸葛亮,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1021,,,,resource/icon/skill/skill_icon.png,
1022,司马懿,对前排敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,3,1,1,,,,,,,,0,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1022,,,,resource/icon/skill/skill_icon.png,
1023,司马懿,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1023,,,,resource/icon/skill/skill_icon.png,
1024,司马懿,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1024,,,,resource/icon/skill/skill_icon.png,
1025,孙尚香,对前方一列造成%.1f%%的伤害。,,,,,1,2,1,,,,,,,,,0,,0.98,0.0238,,,0,0,,,0,0,,0,,,,,,,,,,,,,1025,,,,resource/icon/skill/skill_icon.png,
1026,孙尚香,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1026,,,,resource/icon/skill/skill_icon.png,
1027,孙尚香,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1027,,,,resource/icon/skill/skill_icon.png,
1028,曹操,使前2排敌方武将晕眩（技能等级越高成功率越高），持续2秒。,,,,,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1028,211,,,resource/icon/skill/skill_icon.png,
1029,曹操,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1029,,,,resource/icon/skill/skill_icon.png,
1030,曹操,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1030,,,,resource/icon/skill/skill_icon.png,
1031,吕布,对前排造成%.1f%%的伤害，并机率使其晕眩，持续3秒。,,,,,1,3,1,1,,,,,,,,0,,0.88,0.0213,,,0,0,,,0,0,,0,,,,,,,,,,,,,1031,212,,,resource/icon/skill/skill_icon.png,
1032,吕布,连击，对前方目标连续造成2次%.1f%%的伤害。,,,,,2,4,1,1,,,,,,,,0,,0.75,0.0182,,,0,0,,,0,0,,0,,,,,,,,,,,,,1032,,,,resource/icon/skill/skill_icon.png,
1033,吕布,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1033,,,,resource/icon/skill/skill_icon.png,
1034,单刀赴会,对前排敌人造成%.1f%%伤害的攻击，且降低对方一定的防御，持续3秒。,1=85=2.05,,,,1,3,1,1,,,,,,,,0,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1034,1163,,,resource/icon/skill/skill_icon.png,
1035,武圣,对前方敌方武将造成%.1f%%的伤害，且使其无法技能攻击5秒。,1=132=3.2,,,,1,4,1,1,,,,,,,,0,,1.32,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,1035,1285,,,resource/icon/skill/skill_icon.png,
1036,春秋,在场时可额外获得怒气值%d。,1=50=10,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1036,,,,resource/icon/skill/skill_icon.png,
1037,赵云,对前2排造成%.1f%%的伤害，且附带250的命中。,,,,,1,5,1,1,,,,,,,,1=250,,0.52,0.0126,,,0,0,,,0,0,,0,,,,,,,,,,,,,1037,,,,resource/icon/skill/skill_icon.png,
1038,赵云,连击，对前方目标连续造成2次%.1f%%的伤害。,,,,,2,4,1,1,,,,,,,,0,,0.74,0.0179,,,0,0,,,0,0,,0,,,,,,,,,,,,,1038,,,,resource/icon/skill/skill_icon.png,
1039,赵云,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1039,,,,resource/icon/skill/skill_icon.png,
1040,连击,对敌方前方武将造成%.1f%%的伤害，连续2次。,1=72=1.75,,,,2,4,1,1,,,,,,,,0,,0.72,0.0175,,,0,0,,,0,0,,0,,,,,,,,,,,,,1040,,,,resource/icon/skill/skill_icon.png,
1041,武痴,训练自身，提高自身暴击%d。,1=110=11,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1041,,,,resource/icon/skill/skill_icon.png,
1042,以战养战,杀死一个敌方回复自身%.1f%%的最大生命值。,1=8=0.8,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1042,,,,resource/icon/skill/skill_icon.png,
1043,张辽,对前排造成%.1f%%攻击的伤害，并降低对方破击%d，持续3秒。,,,,,1,3,1,1,,,,,,,,0,,0.88,0.0213,,,0,0,,,0,0,,0,,,,,,,,,,,,,1043,1184,,,resource/icon/skill/skill_icon.png,
1044,张辽,提升自身格挡值%d，持续5秒。,,,,,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1044,1178,,,resource/icon/skill/skill_icon.png,
1045,张辽,自身成功格挡后，吸收%.1f%%本次伤害转为自身生命。,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1045,,,,resource/icon/skill/skill_icon.png,
1046,刘备,对前排造成%.1f%%攻击的伤害，并降低对方命中%d，持续3秒。,,,,,1,3,1,1,,,,,,,,0,,0.88,0.0213,,,0,0,,,0,0,,0,,,,,,,,,,,,,1046,1166,,,resource/icon/skill/skill_icon.png,
1047,刘备,提升自身闪避值%d，持续5秒。,,,,,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1047,1173,,,resource/icon/skill/skill_icon.png,
1048,刘备,每成功闪避一次，提升%.1f%%的攻击。,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1048,,,,resource/icon/skill/skill_icon.png,
1049,左慈,使全体敌方武将机率缓速（技能等级越高成功率越高），持续5秒。,,,,,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1049,257,,,resource/icon/skill/skill_icon.png,
1050,左慈,降低敌方攻击最高武将%.1f%%的攻击，持续6秒。,,,,,0,4,1,,,,1,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1050,131,,,resource/icon/skill/skill_icon.png,
1051,左慈,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1051,,,,resource/icon/skill/skill_icon.png,
